"# of Uses","# của các cách dùng"
"%s tag(s) have been accepted for moderation.","%s thẻ đã được chấp nhận kiểm duyệt."
"<strong>Tag Name:</strong> %s","<strong>Tên thẻ:</strong> %s"
"Action","Hành động"
"Add","Thêm"
"Add New Tag","Thêm thẻ mới"
"Add Tags","Thêm thẻ"
"Add Your Tags:","Thêm thẻ của bạn:"
"Add tag(s) to product","Thêm thẻ tới sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào danh sách mong muốn"
"All Tags","Tất cả các thẻ"
"Approved","Thừa nhận"
"Are you sure you want to delete this tag?","Bạn có chắc chắn muốn xóa thẻ này?"
"Are you sure you want to do this?","Bạn có chắc chắn muốn làm điều này?"
"Are you sure?","Bạn có chắc chắn?"
"Back","Quay lại"
"Back to Tags List","Quay lại danh sách các thẻ"
"Base Popularity","Phổ biến cơ bản"
"Block Information","Khối thông tin"
"CSV","CSV"
"Catalog Product View","Danh mục sản phẩm xem"
"Change status","Thay đổi trạng thái"
"Click on a tag to view your corresponding products.","Nhấp vào một thẻ để xem các sản phẩm tương ứng."
"Country","Quốc gia"
"Customer My Account My Tags List","Danh sách thẻ của tôi"
"Customer My Account Tag View","Xem nhóm thẻ tài khoản của tôi"
"Customer Since","Khách hàng từ khi"
"Customers","Khách hàng"
"Customers Submitted this Tag","Khách hàng đăng thẻ này"
"Customers Tagged '%s'","Khách hàng được đánh thẻ '%s'"
"Delete","Xóa"
"Delete Tag","Xóa thẻ"
"Disabled","Tắt"
"Edit Tag '%s'","Chỉnh sửa thẻ '%s'"
"Email","Email"
"First Name","Họ"
"General Information","Thông tin chung"
"Grid","Lưới"
"ID","ID"
"Info","Thông tin"
"Last Name","Tên"
"List","Danh sách liệt kê"
"Manage Tags","Quản lý thẻ"
"Middle Name","Tên đệm"
"My Recent Tags","Các thẻ gần đây của tôi"
"My Tags","Thẻ của tôi"
"Name","Tên"
"New Tag","Thẻ mới"
"No matches found.","Không tìm thấy kết quả phù hợp."
"Other people marked this product with these tags:","Người khác đánh dấu sản phẩm này với các thẻ:"
"Pending","Chờ giải quyết"
"Pending Tags","Thẻ chờ giải quyết"
"Popular","Phổ biến"
"Popular Tags","Thẻ phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product SKU","SKU sản phẩm"
"Product Tag API","API thẻ sản phẩm"
"Product Tags","Thẻ sản phẩm"
"Products","Sản phẩm"
"Products Tagged by Administrators","Sản phẩm được gắn thẻ bởi người quản lý"
"Products Tagged by Customers","Sản phẩm được gắn thẻ bởi khách hàng"
"Products Tagged with '%s'","Sản phẩm được gắn thẻ với '%s'"
"Products tagged with '%s'","Sản phẩm được gắn thẻ với '%s'"
"Rebuild Tag aggregation data","Xây dựng lại tập tợp dữ liệu thẻ"
"Remove","Gỡ"
"Remove product tag","Gỡ thẻ sản phẩm"
"Retrieve list of tags by product","Lấy danh sách các thẻ theo sản phẩm"
"Retrieve product tag info","Lấy thông tin thẻ sản phẩm"
"SKU","SKU"
"Save Tag","Lưu thẻ"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Store View","Cửa hàng xem"
"Tag","Thẻ"
"Tag ""%s"" has already been added to the product.","Thẻ ""%s"" đã được thêm vào sản phẩm."
"Tag ""%s"" has been added to the product.","Thẻ ""%s"" đã được thêm vào sản phẩm."
"Tag ""%s"" has been rejected by administrator.","Thẻ ""%s"" đã bị từ chối bởi người quản lý."
"Tag Aggregation Data","Thẻ dữ liệu tổng hợp"
"Tag Name","Tên thẻ"
"Tagged Products List","Danh sách sản phẩm được gắn thẻ"
"Tags","Thẻ"
"Tags List (All Available)","Danh sách thẻ (Tất cả hiện có)"
"Tags List Before","Danh sách thẻ trước"
"Tags:","Thẻ:"
"Telephone","Điện thoại"
"The tag has been deleted.","Thẻ đã bị xóa."
"There are no tags available.","Không có thẻ có sẵn."
"Unable to find any products tagged with '%s' in the current store","Không tìm thấy bất cứ sản phẩm nào được gắn thẻ với '%s' trong cửa hàng hiện tại"
"Unable to remove tag. Please, try again later.","Không thể gỡ bỏ thẻ. Vui lòng thử lại sau."
"Unable to save tag(s).","Không thể lưu thẻ."
"Update","Cập nhật"
"Update product tag","Cập nhật thẻ sản phẩm"
"Use spaces to separate tags. Use single quotes (') for phrases.","Sử dụng khoảng trắng để phân cách các thẻ. Sử dụng dấu nháy đơn (') cho các cụm từ."
"View All Tags","Xem tất cả các thẻ"
"View Customers","Xem các khách hàng"
"View Products","Xem các sản phẩm"
"XML","XML"
"You have not tagged any products yet.","Bạn chưa gắn thẻ bất kỳ sản phẩm nào."
"ZIP/Post Code","Mã ZIP/Bưu chính"
"[STORE VIEW]","[Cửa hàng xem]"
