"%s","%s"
"-- Please Select --","-- Vui lòng chọn --"
"Actions","Hành động"
"Add Layout Update","Thêm cập nhật bố cục"
"Add New Widget Instance","Thêm trường tiện ích con mới"
"All","Tất cả"
"All Pages","Tất cả các trang"
"All Product Types","Tất cả các loại sản phẩm"
"An error occurred during saving a widget: %s","Có lỗi xảy ra trong quá trình lưu một tiện ích con: %s"
"Anchor Categories","Thể loại anchor"
"Apply","Áp dụng"
"Assign to Store Views","Gán vào cửa hàng để xem"
"Big Image","Hình ảnh lớn"
"Block Reference","Khối tài liệu tham khảo"
"CMS","CMS"
"Categories","Thể loại"
"Choose...","Chọn..."
"Close","Đóng"
"Continue","Tiếp tục"
"Default Template","Mẫu mặc định"
"Delete","Xóa"
"Design Package/Theme","Thiết kế gói/chủ đề"
"Error occurs during loading chooser.","Có lỗi xảy ra khi tải trình lựa chọn."
"Export to:","Nhập vào:"
"Frontend Properties","Thuộc tính giao diện"
"Generic Pages","Các trang chung"
"Go to Next page","Đi tới trang kế"
"Go to Previous page","Quay lại trang trước"
"Images","Hình ảnh"
"Insert Widget","Chèn tiện ích con"
"Insert Widget...","Chèn tiện ích con..."
"Layout Updates","Cập nhật bố cục"
"Manage Widget Instances","Quản lý các trường tiện ích con"
"New Instance","Thể hiện mới"
"New Widget Instance","Trường tiện ích con mới"
"Next page","Trang tiếp theo"
"Non-Anchor Categories","Thể loại Non-Anchor"
"Not Selected","Không được chọn"
"Open Chooser","Mở trình lựa chọn"
"Page","Trang"
"Please Select Block Reference First","Vui lòng chọn khối tham khảo trước"
"Previous page","Trang trước"
"Products","Sản phẩm"
"Remove Layout Update","Gỡ bỏ cập nhật bố cục"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Select All","Chọn tất cả"
"Select Visible","Chọn thể nhìn thấy"
"Settings","Thiết lập"
"Sort Order","Thứ tự sắp xếp"
"Sort Order of widget instances in the same block reference","Sắp xếp các trường hợp tiện ích con trong cùng khối tham chiếu"
"Specific %s","Đặc biệt %s"
"Specified Page","Trang đã xác định"
"Template","Bản mẫu"
"The information in this tab has been changed.","Thông tin trong tab này đã được thay đổi."
"The widget instance has been deleted.","Trường tiện ích con này đã bị xóa."
"The widget instance has been saved.","Trường tiện ích con này đã được lưu."
"This tab contains invalid data. Please solve the problem before saving.","Tab này chứa dữ liệu không hợp lệ. Hãy giải quyết vấn đề trước khi lưu."
"Thumbnail","Thumbnail"
"Total %d records found","Tổng số %d bản ghi tìm thấy"
"Type","Loại"
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn thể nhìn thấy"
"View","Xem"
"Widget","Tiện ích con"
"Widget ""%s""","Tiện ích con ""%s"""
"Widget ID","ID tiện ích con"
"Widget Insertion","Chèn tiện ích con"
"Widget Instance","Trường hợp tiện ích con"
"Widget Instance Title","Tiêu đề trường hợp tiện ích con"
"Widget Options","Tùy chọn tiện ích con"
"Widget Type","Loại tiện ích con"
"Widget Type is not specified","Loại tiện ích con không được định rõ"
"Widget instance is not full complete to create.","Trường tiện ích con không đủ hoàn toàn để khởi tạo."
"Widgets","Tiện ích con"
"Wrong widget instance specified.","Sai trường hợp tiện ích con đã định."
"items selected","mục đã chọn"
"of %s pages","của %s trang"
"per page","mỗi trang"
