"%s file does not exists or is not readable","%s tập tin không tồn tại hoặc không thể đọc được"
"-- Please Select --","-- Vui lòng chọn --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Bộ chuyển đổi phải có một thể hiện của Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Đối tượng bộ chuyển đổi phải có một thể hiện của %s"
"Adapter type must be a non empty string","Kiểu bộ chuyển đổi phải là một chuỗi không có sản phẩm nào"
"Append Complex Data","Nối thêm dữ liệu phức tạp"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn thuộc tính"
"Attribute does not has options, so filtering is impossible","Thuộc tính không có tùy chọn, để lọc là không thể"
"Begin data validation","Bắt đầu xác nhận dữ liệu"
"Begin export of %s","Bắt đầu xuất %s"
"Begin import of ""%s"" with ""%s"" behavior","Bắt đầu nhập  ""%s"" với ""%s"" hành vi"
"CSV","CSV"
"Can not determine attribute filter type","Không thể xác định loại bộ lọc thuộc tính"
"Can not find required columns: %s","Không thể tìm thấy các cột cần thiết: %s"
"Cannot get autoincrement value","Không thể lấy giá trị tự động tăng"
"Check Data","Kiểm tra dữ liệu"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Dòng đã kiểm tra: %d, Các đơn vị được kiểm tra: %d, dòng không hợp lệ: %d, Tổng số lỗi: %d"
"Column names have duplicates","Tên cột có bản sao"
"Column names is empty or is not an array","Tên cột rỗng hoặc không phải là một mảng"
"Column names: ""%s"" are invalid","Tên cột: ""%s"" không hợp lệ"
"Customers","Khách hàng"
"Data is invalid or file is not uploaded","Dữ liệu không hợp lệ hoặc tập tin không được tải lên"
"Delete Entities","Xóa đối tượng"
"Destination directory is not writable","Thư mục đích không cho phép ghi"
"Destination file is not writable","Tập tin đích không cho phép ghi"
"Destination file path must be a string","Đường dẫn tập tin đích phải là một chuỗi"
"Done import data validation","Thực hiện xác nhận dữ liệu nhập"
"Duplicate Unique Attribute for '%s'","Nhân đôi thuộc tính riêng biệt cho '%s'"
"Entity Type","Loại thực thể"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Đối tượng bộ chuyển đổi thực thể phải có một thể hiện của Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Đối tượng bộ chuyển đổi thực thể phải có một thể hiện của Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Thực thể không xác định"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Mô hình kiểu thực thể phải là một thể hiện của Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Mô hình kiểu thực thể phải là một thể hiện của Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Lỗi trong cấu trúc dữ liệu: các hành vi đã trộn lẫn"
"Error in data structure: entity codes are mixed","Lỗi trong cấu trúc dữ liệu: mã thực thể đã bị trộn lẫn"
"Errors limit (%d) reached. Please fix errors and re-upload file","Lỗi giới hạn đạt (%d). Hãy sửa lỗi là tải lên lại tập tin"
"Export","Xuất"
"Export File Format","Xuất định dạng tập tin"
"Export Settings","Thiết lập xuất"
"Export has been done.","Việc xuất đã được thực hiện."
"Exported %s rows.","Đã xuất %s dòng."
"File does not contain data.","Tập tin không chứa dữ liệu."
"File does not contain data. Please upload another one","Tập tin không chứa dữ liệu. Hãy tải lên một tập tin khác"
"File format is unknown","Định dạng tập tin không rõ"
"File is partially valid, but import is not possible","Tập tin hợp lệ một phần, nhưng không thể nhập"
"File is totally invalid. Please fix errors and re-upload file","Tập tin hoàn toàn không hợp lệ. Hãy sửa lỗi và tải lên lại tập tin"
"File is valid! To start import process press ""Import"" button","Tập tin hợp lệ! Để bắt đầu quá trình nhập nhấn nút""Nhập"""
"File is valid, but import is not possible","Tập tin hợp lệ, nhưng không thể nhập"
"File was not uploaded","Tập tin không được tải lên"
"Filter","Bộ lọc"
"From","Từ"
"Header column names already set","Tên cột tiêu đề đã được thiết lập"
"Import","Nhập"
"Import Behavior","Hành vi nhập"
"Import Settings","Thiết lập nhập"
"Import has been done successfuly.","Việc nhập đã được thực hiện thành công."
"Import successfully done.","Việc nhập thực hiện thành công."
"Import/Export","Nhập/Xuất"
"Input entity code is not equal to entity adapter code","Mã đơn vị đầu vào không phải bằng mã bộ chuyển đổi thực thể"
"Invalid entity","Thực thể không hợp lệ"
"Invalid entity model","Mô hình thực thể không hợp lệ"
"Invalid file format","Định dạng tập tin không hợp lệ"
"Invalid parameters","Các thông số không hợp lệ"
"Invalid seek position","Vị trí tìm kiếm không hợp lệ"
"Invalid value for '%s'","Giá trị không hợp lệ cho '%s'"
"Invalid value for '%s' column","Giá trị không hợp lệ cho cột '%s'"
"No filter data provided","Không có dữ liệu lọc được cung cấp"
"No source specified","Không có nguồn cụ thể"
"No valid data sent","Không có dữ liệu hợp lệ được gửi"
"No writer specified","Không có người viết cụ thể"
"Node does not has model token tag","Nút không có mô hình thẻ tag"
"Not implemented yet","Chưa triển khai"
"Please fix errors and re-upload file","Hãy sửa lỗi và tải lên lại tập tin"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Hãy sửa lỗi và tải lên lại tập tin hay chỉ đơn giản là nhấn nút""Nhập"" để bỏ qua các hàng với lỗi"
"Products","Sản phẩm"
"Replace Existing Complex Data","Thay thể dữ liệu phức tạp hiện tại"
"Select File to Import","Chọn tập tin để nhập"
"Skip","Bỏ qua"
"Source file moving failed","Tập tin nguồn chuyển thất bại"
"Source file path must be a string","Đường dẫn tập tin nguồn phải là một chuỗi"
"Source is not set","Nguồn không được thiết lập"
"Status","Tình trạng"
"There are no product types available for export","Không có loại sản phẩm để xuất"
"There is no data for export","Không có dữ liệu để xuất"
"To","Đến"
"Total size of uploadable files must not exceed %s","Tổng kích thước của tập tin tải lên không được vượt quá %s"
"Unknown attribute filter type","Loại bộ lọc thuộc tính chưa rõ"
"Uploaded file has no extension","Tập tin được tải lên không có phần mở rộng"
"Validation finished successfully","Hoàn thành xác nhận thành công"
"in rows","trong các hàng"
"in rows:","trong các hàng:"
