 or 	 or 
'%value%' appears to be a DNS hostname but cannot extract TLD part	'%value%' appears to be a DNS hostname but cannot extract TLD part
'%value%' appears to be a DNS hostname but cannot match TLD against known list	'%value%' appears to be a DNS hostname but cannot match TLD against known list
'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'	'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'
'%value%' appears to be a DNS hostname but contains a dash in an invalid position	'%value%' appears to be a DNS hostname but contains a dash in an invalid position
'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded	'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded
'%value%' appears to be a local network name but local network names are not allowed	'%value%' appears to be a local network name but local network names are not allowed
"'%value%' appears to be an IP address, but IP addresses are not allowed"	"'%value%' appears to be an IP address, but IP addresses are not allowed"
'%value%' does not appear to be a valid local network name	'%value%' does not appear to be a valid local network name
* Required Fields,* Bắt buộc
ALL GROUPS,TẤT CẢ CÁC NHÓM
Account Dashboard,Bảng quản lý tài khoản
Account Information,Thông tin tài khoản
Account Sharing Options,Tùy chọn chía sẻ tài khoản
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Xác nhận tài khoản là bắt buộc. Vui lòng kiểm tra email của bạn để xác nhận liên kết. để gửi lại email xác nhận vui lòng <a href=""%s"">click vào đây</a>."
Action,Hoạt động
Add New Address,Thêm địa chỉ mới
Add New Customer,Thêm khách hàng
Add New Customer Group,Thêm nhóm khách hàng
Added From,Thêm từ
Additional Address Entries,Mục địa chỉ bổ sung
Address,Địa chỉ
Address Book,Danh sách địa chỉ
Address Books,Số địa chỉ
Address Information,Thông tin địa chỉ
Address Templates,Mẫu địa chỉ
Addresses,Địa chỉ
Admin,Người quản trị
All,Tất cả
All Store Views,Tất cả các cảnh cửa hàng
All countries,Tất cả các quốc gia
Always optional.,Tùy chọn luôn luôn.
Amount,Tổng cộng
An error occurred while deleting the address.,Có lỗi xảy ra khi xóa địa chỉ.
An error occurred while retrieving the option value: %s.,Xảy ra lỗi khi truy xuất các giá trị tùy chọn: %s.
"An error occurred while saving the collection, aborting. Error: %s","Có lỗi xảy ra khi lưu bộ sưu tập, hủy bỏ. Lỗi: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Một lựa chọn ID không hợp lệ được quy định cho %s (%s), bỏ qua bản ghi."
Approved,Đã chấp nhận
Are you sure that you want to remove this item?,Bạn có chắc chắn muốn loại bỏ mặt hàng này?
Are you sure you want to cancel adding of this address?,Bạn có chắc chắn muốn hủy bỏ việc thêm địa chỉ này?
Are you sure you want to delete this address?,Bạn có chắc chắn muốn xóa địa chỉ này?
Are you sure?,Bạn có chắc không?
Array of Entity collections is expected.,Mảng của bộ sưu tập thực thể được kì vọng.
Assign a Customer Group,Chỉ định một nhóm khách hàng
Average Sale,Giá cả trung bình
Back,Quay lại
Back - link to the previously viewed page,Quay lại - liên kết đến trang trước đó
Back to Login,Quay lại đăng nhập
Bad request.,Yêu cầu xấu.
