"* Select shipping method","* Chọn phương thức giao hàng"
"2Day","2 ngày"
"2nd Day Air","2 Ngày đường hàng không"
"2nd Day Air AM","2 ngày đường hàng không AM"
"3 Day Select","lựa chọn 3 ngày"
"<br />Warning: <strong>%s</strong><br />","<br />Cảnh báo: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Cảnh báo!</strong> Tùy chọn này vô hiệu hóa vận chuyển tính thương gia. Với tùy chọn này, Google API bỏ qua bất kì nỗ lực ảnh hưởng đến giá vận chuyển."
"A virtual item to reflect the discount total","Một mục ảo để phản ảnh tổng chiết khấu"
"A virtual item to reflect the tax total","Một mục ảo để phản ánh tổng số thuế"
"AVS Status: %s","Tình trạng AVS: %s"
"Add Shipping Method","Thêm phương thức vận chuyển"
"Allowed Methods","Phương thức được phép"
"Amount: %s","Số lượng: %s"
"Auto-generated from GoogleCheckout Charge","Tự động tạo ra từ phí GoogleCheckout"
"Buyer Account Age: %s days","Tuổi thọ tài khoản người mua: %s ngày"
"CC Partial: xxxx-%s","Phần CC: xxxx-%s"
"CID Status: %s","Trạng thái CID: %s"
"Carrier Calculated Methods","Phương pháp tính vận chuyển"
"Cart Discount","Giỏ hàng giảm giá"
"Checkout Image Style","Kiểu hình ảnh thanh toán"
"Commercial","Thương mại"
"Continue Shopping URL","URL tiếp tục mua sắm"
"Credit memo has been created automatically","Bản ghi nhớ tín dụng đã được tạo ra tự động"
"Debug","Gỡ lỗi"
"Default Package Height (in)","Chiều cao gói mặc định (trong)"
"Default Package Length (in)","Chiều dài gói mặc định (trong)"
"Default Package Width (in)","Chiều rộng gói mặc định (trong)"
"Default Price for Methods","Mặc định giá cho phương thức""Default price:","Giá mặc định:"
"Delivery Address Category","Mục địa chỉ giao hàng"
"Delivery Schedule","Lịch chuyển phát"
"Description-based delivery","Sự giao hàng dựa trên mô tả"
"Disable Default Tax Tables","Vô hiệu hóa các bảng thuế suất mặc định"
"Discount Tax","Thuế giảm giá"
"Eligible for Protection: %s","Đủ điều kiện bảo vệ: %s"
"Email delivery","Email giao hàng"
"Enable","Bật"
"Enable Carrier Calculated","Cho phép người chuyên chở tính"
"Enable Digital Delivery","Cho phép phân phối kỹ thuật số"
"Enable Flat Rate","Bật tính năng giá thấp nhất"
"Enable Merchant Calculated","Cho phép thương gia tính"
"Enable this if your checkout request is too big and being cut off.","Kích hoạt tính năng này nếu yêu cầu thanh toán của bạn là quá lớn và bị cắt đứt."
"Expiration: %s","Thời hạn: %s"
"Express Mail","Mail chuyển phát nhanh"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Tài chính: %s -> %s"
"First Overnight","Nghỉ đêm đầu tiên"
"Free Shipping","Giao hàng miễn phí"
"Fulfillment: %s -> %s","Hoàn chỉnh: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google ủy quyền:"
"Google Buyer ID: %s","ID Google người mua: %s"
"Google Charge:","Phí Google:"
"Google Chargeback:","Phí hoàn trả Google:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Vận chuyển thanh toán Google - Người chuyển tính"
"Google Checkout Shipping - Digital Delivery","Vận chuyển thanh toán Google - Giao hàng kỹ thuật số"
"Google Checkout Shipping - Flat Rate","Vận chuyển thanh toán Google - Giá thấp nhất"
