"Actions","Hành động"
"An error occurred while marking notification as read.","Có lỗi xảy ra trong khi đánh dấu thông báo đã đọc."
"An error occurred while marking the messages as read.","Có lỗi xảy ra trong khi đánh dấu tin nhắn đã đọc."
"An error occurred while removing messages.","Có lỗi xảy ra trong khi gỡ bỏ tin nhắn."
"An error occurred while removing the message.","Có lỗi xảy ra trong khi gỡ bỏ các tin nhắn."
"Are you sure?","Bạn có chắc chắn?"
"Date Added","Ngày thêm"
"Last Update","Cập nhật lần cuối"
"Mark as Read","Đánh dấu đã đọc"
"Mark as read","Đánh dấu là đã đọc"
"Message","Tin nhắn"
"Messages Inbox","Hộp thư tin nhắn"
"Notifications","Thông báo"
"Please select messages.","Vui lòng chọn tin nhắn."
"Read Details","Đọc chi tiết"
"Remove","Gỡ"
"Severity","Mức độ nghiêm trọng"
"Show List","Hiển thị danh sách liệt kê"
"Show Toolbar","Hiển thị thanh công cụ"
"The message has been marked as read.","Các tin nhắn đã được đánh dấu đã đọc."
"The message has been removed.","Các tin nhắn đã được gỡ."
"Total of %d record(s) have been marked as read.","Tổng số của %d hồ sơ được đánh dấu đã đọc."
"Total of %d record(s) have been removed.","Tổng số của %d hồ sơ đã được gỡ bỏ."
"Unable to proceed. Please, try again.","Không thể tiến hành. Vui lòng thử lại."
"Update Frequency","Tần suất cập nhật"
"Use HTTPS to Get Feed","Dùng HTTPS để lấy nguồn dữ liệu"
"Wrong message type","Sai loại tin nhắn"
"critical","nguy kịch"
"major","chính"
"minor","nhỏ"
"notice","chú ý"
