"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"Add New Rating","Thêm đánh giá mới"
"Assigned Options","Tùy chọn chỉ định"
"Be the first to review this product","Hãy là người đầu tiên xem sản phẩm này"
"Default Value","Giá trị mặc định"
"Delete Rating","Xóa đánh giá"
"Edit Rating","Chỉnh sửa đánh giá"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Nếu bạn không định đánh giá một danh hiệu cho một cửa hàng, giá trị mặc định sẽ được sử dụng."
"Manage Ratings","Quản lý xếp hạng"
"New Rating","Đánh giá mới"
"Option Label","Lựa chọn nhãn"
"Option Title","Lựa chọn tiêu đề"
"Option Title:","Lựa chọn tiêu đề:"
"Please select one of each ratings above","Vui lòng chọn một trong mỗi xếp hạng ở trên"
"Rating Information","Thông tin đánh giá"
"Rating Name","Tên hạng"
"Rating Options","Tùy chọn đánh giá"
"Rating Title","Tiêu đề đánh giá"
"Rating Visibility","Khả năng hiển thị đánh giá"
"Rating isn't Available","Đánh giá không có sẵn"
"Rating with the same title","Đánh giá với các tiêu đề tương tự"
"Save Rating","Lưu đánh giá"
"Sort Order","Thứ tự sắp xếp"
"Visible In","Có thể nhìn thấy trong"
