"10 minutes","10 phút"
"15 minutes","15 phút"
"20 minutes","20 phút"
"30 minutes","30 phút"
"5 minutes","5 phút"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Các công việc đã lên lịch) - tất cả thời gian được tính bằng phút"
"Daily","Hằng ngày"
"Failure History Lifetime","Lịch sử chu kỳ hỏng"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Đối với các URL chính xác được tạo ra trong quá trình cron chạy vui lòng đảm bảo rằng Web > bảo mật và các URL cơ bản không an toàn được thiết lập một cách rõ ràng."
"Generate Schedules Every","Mỗi lịch trình tạo ra"
"History Cleanup Every","Mỗi dọn dẹp lịch sử"
"Hourly","Từng giờ"
"Invalid callback: %s::%s does not exist","Gọi lại không hợp lệ: %s::%s không tồn tại"
"Invalid model/method definition, expecting ""model/class::method"".","Mẫu/Phương thức định nghĩa không hợp lệ, yêu cầu ""mẫu/lớp::phương thức""."
"Minute Intervals","Khoảng phút"
"Missed if Not Run Within","Bỏ qua nếu không chạy trong vòng"
"Monthly","Hằng tháng"
"No callbacks found","Không thấy cuộc gọi lại"
"Schedule Ahead for","Lên lịch trước cho"
"Success History Lifetime","Chu kỳ lịch sử thành công"
"Too late for the schedule.","Quá muộn cho lịch làm việc."
"Unable to delete the cron task.","Không thể xóa các công việc cron."
"Unable to save the cron expression.","Không thể lưu các biểu hiện cron."
"Weekly","Hằng tuần"
