"Add Recipient","Thêm người nhận"
"Allow for Guests","Cho phép khách"
"An invalid email address for recipient was entered.","Một địa chỉ email không hợp lệ cho người nhận đã được nhập."
"At least one recipient must be specified.","Ít nhất một người nhận phải được xác định."
"Back","Quay lại"
"Catalog Product Email to a Friend","Danh mục email sản phẩm tới bạn bè"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email Templates","Mẫu email"
"Email to a Friend","Email cho bạn bè"
"Email:","Email:"
"Enabled","Đã bật"
"Invalid Sender Information","Thông tin người gửi không hợp lệ"
"Invalid sender email.","Email người gửi không hợp lệ."
"Limit Sending By","Giới hạn gửi bởi"
"Max Products Sent in 1 Hour","Số sản phẩm tối đa đã gửi trong một giờ"
"Max Recipients","Số người nhận tối đa"
"Maximum %d email addresses allowed.","Tối đa %d địa chỉ email được cho phép."
"Message:","Thông điệp:"
"Name","Tên"
"Name:","Tên:"
"No more than %d emails can be sent at a time.","Không nhiều hơn %d emails có thể được gửi tại một thời điểm."
"Please define a correct Cookie instance.","Hãy xác định một trường hợp Cookie đúng."
"Please define a correct Product instance.","Hãy xác định một trường hợp sản phẩm chính xác."
"Please define the correct Sender information.","Hãy xác định chính xác thông tin người gửi."
"Recipient:","Người nhận:"
"Remove Email","Gỡ bỏ email"
"Select Email Template","Chọn mẫu email"
"Send Email","Gửi Email"
"Send product to a friend","Gửi sản phẩm cho bạn bè"
"Sender:","Người gửi:"
"Some emails were not sent.","Một số email không được gửi."
"The link to a friend was sent.","Liên kết đến một người bạn đã gửi."
"The message cannot be empty.","Thông điệp này không thể để trống."
"The messages cannot be sent more than %d times in an hour","Các tin nhắn không thể được gửi nhiều hơn %d lần trong một giờ"
"The sender name cannot be empty.","Tên người gửi không thể trống."
"There were some problems with the data.","Có một số vấn đề với dữ liệu."
"You have exceeded limit of %d sends in an hour","Bạn đã vượt quá giới hạn của %d lần gửi trong một giờ"
