"Add","Thêm"
"Add New Row","Thêm dòng mới"
"Add links and samples to downloadable product","Thêm liên kết và mẫu cho sản phẩm tải về"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Các kí tự chữ và số, dấu gạch ngang và gạch dưới được đề nghị cho tên tập tin. Kí tự không phù hợp được thay thế bằng \'_\'."
"An error occurred while getting the requested content.","Có lỗi xảy ra trong khi nhận nội dung được yêu cầu."
"An error occurred while getting the requested content. Please contact the store owner.","Có lỗi xảy ra trong khi nhận nội dung được yêu cầu. Vui lòng liên hệ với chủ cửa hàng."
"An error occurred while saving the file(s).","Có lỗi xảy ra trong khi lưu tập tin."
"Availability:","Tính sẵn sàng:"
"Back","Quay lại"
"Canceled","Đã hủy"
"Cannot connect to remote host, error: %s.","Không thể kết nối tới máy chủ từ xa, lỗi: %s."
"Catalog Product View (Downloadable)","Danh mục xem sản phẩm (Tải về)"
"Category API","API thể loại"
"Customer My Account Downloadable Items","Mục tải về nơi tài khoản của tôi (khách hàng)"
"Date","Ngày"
"Default Link Title","Tiêu đề liên kết mặc định"
"Default Maximum Number of Downloads","Mặc định số lần tải về tối đa"
"Default Sample Title","Mặc định tiêu đề mẫu"
"Delete","Xóa"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vô hiệu hóa thanh toán của khách hàng nếu có chứa mục tải về"
"Downloadable Information","Thông tin tải về"
"Downloadable Product","Sản phẩm tải về"
"Downloadable Product Options","Tùy chọn sản phẩm tải về"
"Downloadable Product Section","Mục sản phẩm tải về"
"Edit","Chỉnh sửa"
"Edit item parameters","Chỉnh sửa các thông số mục"
"Excl. Tax","Không tính thuế"
"File","Tập tin"
"From:","Từ:"
"Gift Message","Tin nhắn quà tặng"
"Go to <a href=""%s"">My Downloadable Products</a>","Đi đến <a href=""%s"">Sản phẩm tải về của tôi</a>"
"Guest checkout will only work with shareable.","Thanh toán của khách hàng sẽ chỉ làm việc với khả năng chia sẻ."
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Invalid download URL host.","URL Máy chủ tải về không đúng."
"Invalid download URL scheme.","URL chương trình tải về không đúng."
"Invalid download link type.","Loại liên kết tải về không hợp lệ."
"Invoiced","Hóa đơn"
"Links can be purchased separately","Liên kết có thể được mua riêng"
"List","Danh sách"
"Max. Downloads","Tải tối đa"
"Message:","Tin nhắn:"
"Move","Di chuyển"
"Move to wishlist","Chuyển tới danh sách ưa thích"
"My Downloadable Products","Sản phẩm tải về của tôi"
"Open Links in New Window","Mở liên kết trong cửa sổ mới"
"Order #","Đặt hàng #"
"Order Item Status to Enable Downloads","Đặt trạng thái mục để cho phép tải"
"Order id cannot be null","ID đơn hàng không thể trống"
"Order item id cannot be null","ID mục đơn hàng không thể trống"
"Ordered","Đã đặt hàng"
"Out of stock","Hết hàng"
"Pending","Chờ giải quyết"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Vui lòng đăng nhập để tải sản phẩm hoặc mua hàng <a href=""%s"">%s</a>."
"Please log in to download your product.","Vui lòng đăng nhập để tải sản phẩm."
"Please set resource file and link type.","Vui lòng thiết lập tập tin tài nguyên và kiểu liên kết."
"Please specify product link(s).","Vui lòng xác định liên kết sản phẩm."
"Price","Giá"
"Product downloadable links","Liên kết tải sản phẩm"
"Qty","Số lượng"
"Refunded","Hoàn trả"
"Remaining Downloads","Tải về còn lại"
"Remove","Gỡ bỏ"
"Remove Item","Gỡ bỏ mặt hàng"
"Remove links and samples from downloadable product","Hủy bỏ liên kết và các mẫu từ sản phẩm tải về"
"Requested link does not exist.","Liên kết được yêu cầu không tồn tại."
"Retrieve links and samples list from downloadable product","Lấy liên kết và  danh sách mẫu từ sản phẩm tải về"
"SKU","SKU"
"Sample","Mẫu"
"See price before order confirmation.","Xem giá trước khi xác nhận đặt hàng."
"Shareable","Có khả năng chia sẻ"
"Shipped","Đã giao"
"Sorry, there was an error getting requested content. Please contact the store owner.","Xin lỗi, đã có lỗi khi nhận nội dung yêu cầu. Xin vui lòng liên hệ với chủ cửa hàng."
"Sort Order","Sắp xếp đơn hàng"
"Start Download","Bắt đầu tải về"
"Status","Trạng thái"
"Subtotal","Tổng"
"The file does not exist.","Tập tin không tồn tại."
"The link has expired.","Liên kết đã hết hạn."
"The link is not available.","Liên kết không có sẵn."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Có những tập tin đã được chọn nhưng chưa được tải lên. Vui lòng tải lên hoặc loại bỏ chúng trước tiên"
"Title","Tiêu đề"
"To:","Tới:"
"U","U"
"Unlimited","Không giới hạn"
"Update","Cập nhật"
"Use Content-Disposition","Sử dụng nội dung bố trí"
"Use Default Value","Sử dụng giá trị mặc định"
"View Order","Xem đơn hàng"
"What's this?","Đây là gì?"
"You have not purchased any downloadable products yet.","Bạn chưa mua bất kì sản phẩm tải về nào."
"attachment","Tập tin đính kèm"
"download","tải xuống"
"inline","trên dòng"
"sample","ví dụ"
