"Action","Hành động"
"An error occurred while creating the backup.","Có lỗi xảy ra khi tạo bản sao lưu."
"An error occurred while writing to the backup file ""%s"".","Có lỗi xảy ra khi viết đến tập tin sao lưu ""%s""."
"Are you sure you want to delete the selected backup(s)?","Bạn có chắc muốn xóa bản sao lưu đã chọn?"
"Backup Type","Kiểu bản sao lưu"
"Backup file ""%s"" cannot be read from or written to.","Tập tin sao lưu ""%s"" không thể được đọc hoặc ghi vào."
"Backup file ""%s"" does not exist.","Tập tin sao lưu ""%s"" không tồn tại."
"Backup file does not exist.","Tập tin sao lưu không tồn tại."
"Backup file handler was unspecified.","Bộ xử lý tập tin sao lưu không được xác định."
"Backup file not found","Tập tin sao lưu không được tìm thấy"
"Backup file path was not specified.","Đường dẫn tập tin sao lưu không được chỉ định."
"Backups","Các bản sao lưu"
"Cannot read backup file.","Không thể đọc tập tin sao lưu."
"Create Backup","Tạo bản sao lưu"
"Database","CƠ sở dữ liệu"
"Database Backup","Bản sao lưu cơ sở dữ liệu"
"Database and Media","Cơ sở dữ liệu và truyền thông"
"Database and Media Backup","Bản sao lưu cơ sở dữ liệu và phương tiện truyền thông"
"Database was successfuly backed up.","Cơ sở dữ liệu được sao lưu thành công."
"Download","Tải xuống"
"Enable Scheduled Backup","Kích hoạt tính năng sao lưu theo lịch trình"
"Failed to connect to FTP","Không thể kết nối tới FTP"
"Failed to delete one or several backups.","Không thể xóa một hoặc nhiều bản sao lưu."
"Failed to rollback","Rollback thất bại"
"Failed to validate FTP","Xác nhận FTP thất bại"
"Frequency","Tần số"
"Invalid Password.","Mật khấu không đúng."
"Maintenance Mode","Chế độ bảo trì"
"Name","Tên"
"Not enough free space to create backup.","Không đủ chỗ trống để tạo bản sao lưu."
"Not enough permissions to create backup.","Không đủ quyền hạn để tạo bản sao lưu."
"Not enough permissions to perform rollback","Không đủ quyền hạn để thực hiện rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Vui lòng không chọn ô""Đặt cửa hàng vào chế độ bảo trì"" hay cập nhật quyền hạn để xử lý các bản sao lưu."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Vui lòng không chọn ô ""đặt cửa hàng vào chế độ bảo trì"" hoặc cập nhật quyền hạn của bạn để xử lý rollback."""
"Put store on the maintenance mode while backup's creation","Đặt cửa hàng vào chế độ bảo trì khi đang tạo bản sao lưu"
"Rollback","Rollback"
"Scheduled Backup Settings","Cài đặt lịch trình sao lưu"
"Size, Bytes","Kích cỡ, Bytes"
"Start Time","Thời gian bắt đầu"
"System","Hệ thống"
"System (excluding Media)","Hệ thống (trừ Phương tiện truyền thông)"
"System Backup","Bản sao lưu hệ thống"
"System couldn't put store on the maintenance mode","Hệ thống không thể đặt cửa hàng về chế độ bảo trì"
"The database and media backup has been created.","Cơ sở dữ liệu và phương tiện sao lưu đã được tạo."
"The database backup has been created.","Các bản sao lưu cơ sở dữ liệu đã được tạo."
"The file was compressed with Zlib, but this extension is not installed on server.","Các tập tin được nén với Zlib, nhưng phần mở rộng này không được cài đặt trên máy chủ."
"The selected backup(s) has been deleted.","Các bản sao lưu được chọn đã bị xóa."
"The system (excluding Media) backup has been created.","Các bản sao lưu hệ thống (trừ phương tiện truyền thông) đã được tạo."
"The system backup has been created.","Bản sao lưu hệ thống đã được tạo."
"Time","Thời gian"
"Type","Kiểu(loại)"
"Unable to create backup. Please, try again later.","Không thể sao lưu. Vui lòng thử lại sau."
"Unable to save the cron expression.","Không thể lưu biểu thức cron."
"Wrong order of creation for new backup.","Sai thứ tự của việc tạo bản sao lưu mới."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Bạn không đủ quyền để kích hoạt chế độ bảo trì trong suốt quá trình hoạt động này."
