"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Thẻ xác nhận 3D Secure"
"3D Secure Cardholder Validation","Chủ thẻ xác nhận 3D Secure"
"3D Secure Electronic Commerce Indicator","Chỉ số thương mại điện tử 3D Secure"
"3D Secure Verification Result","Kết quả xác minh 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Trách nhiệm tổ chức phát hành thẻ"
"Card Verification","Thẻ xác minh"
"Enrolled","Ghi danh"
"Enrolled but Authentication Unavailable","Ghi danh nhưng xác thực không sẵn có"
"Failed","Thất bại"
"MasterCard SecureCode","Mã an ninh MasterCard"
"Merchant Liability","Trách nhiệm pháp lý nhà kinh doanh"
"Not Enrolled","Không ghi danh"
"Order cannot be placed.","Đơn hàng không thể đặt."
"Payment information error. Please start over.","Lỗi thông tin thanh toán. Vui lòng bắt đầu lại."
"Please continue with placing order.","Hãy tiếp tục với việc đặt hàng."
"Please verify the card with the issuer bank before placing the order.","Vui lòng kiểm tra thẻ với ngân hàng phát hành trước khi đặt hàng."
"Please verify the card with the issuer bank:","Hãy kiểm tra thẻ với ngân hàng phát hành:"
"Start/Reset Validation...","Bắt đầu/Thiết lập lại Sự xác nhận..."
"Successful","Thành công"
"Successful attempt","Nỗ lực thành công"
"The card has failed verification with the issuer bank.","Thẻ đã xác minh thất bại với ngân hàng phát hành."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Đưa thông tin thanh toán sai hoặc thời hạn đã hết. Vui lòng thử lại."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Đưa thông tin thanh toán sai hoặc thời hạn đã hết. Vui lòng thử lại."
"This card has failed validation and cannot be used.","Thẻ này xác nhận thất bại và không thể sử dụng."
"To ensure the security of your transactions","Để đảm bảo an ninh các giao dịch của bạn"
"Unable to complete","Không thể hoàn thành"
"Validation failed.","Xác nhận thất bại."
"Verification Failed","Xác minh không thành"
"Verification Successful","Xác minh thành công"
"Verification cannot be processed","Xác minh không thể được xử lý"
"Verified by Visa","Chứng nhận bởi Visa"
