"Action","Hành động"
"Add Sitemap","Thêm Sitemap"
"Always","Luôn luôn"
"CMS Pages Options","Tùy chọn trang CMS"
"Categories Options","Tùy chọn thể loại"
"Daily","Hằng ngày"
"Edit Sitemap","Chỉnh sửa Sitemap"
"Enabled","Đã bật"
"Error Email Recipient","Lỗi email người nhận"
"Error Email Sender","Lỗi email người gửi"
"Error Email Template","Lỗi email mẫu"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Tập tin ""%s"" không thể lưu. Vui lòng, đảm bảo thư mục ""%s"" được ghi bởi máy chủ web."
"Filename","Tên tập tin"
"Frequency","Tần số"
"Generate","Phát ra"
"Generation Settings","Thiết lập thế hệ"
"Google Sitemap","Google Sitemap"
"Hourly","Hằng giờ"
"ID","ID"
"Last Time Generated","Lần cuối cùng được phát ra"
"Link for Google","Liên kết cho Google"
"Monthly","Hằng tháng"
"Never","Không bao giờ"
"New Sitemap","Sitemap mới"
"Path","Đường dẫn"
"Please create the specified folder ""%s"" before saving the sitemap.","Hãy tạo thư mục cụ thể ""%s"" trước khi lưu sitemap."
"Please define correct path","Hãy xác định đường dẫn chính xác"
"Please make sure that ""%s"" is writable by web-server.","Vui lòng chắc chắn rằng ""%s"" ghi vào được máy chủ web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Vui lòng chỉ sử dụng chữ (a-z or A-Z), số (0-9) hoặc gạch dưới (_) trong tên tập tin. Không có khoảng trống hoặc kí tự khác được phép."
"Priority","Độ ưu tiên"
"Products Options","Tùy chọn sản phẩm"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Các cảnh báo Sitemap phát ra"
"Start Time","Thời gian bắt đầu"
"Store View","Cửa hàng xem"
"The priority must be between 0 and 1.","Độ ưu tiên phải nằm giữa 0 hoặc 1."
"The sitemap ""%s"" has been generated.","Trang bản đồ ""%s"" phải được tạo ra."
"The sitemap has been deleted.","Các sitemap đã bị xóa."
"The sitemap has been saved.","Các sitemap đã được lưu."
"This sitemap no longer exists.","Sitemap này không còn tồn tại."
"Unable to find a sitemap to delete.","Không thể tìm thấy sitemap để xóa."
"Unable to find a sitemap to generate.","Không thể tìm thấy một sitemap để phát ra."
"Unable to generate the sitemap.","Không thể phát ra sitemap."
"Valid values range: from 0.0 to 1.0.","Khoảng giá trị hợp lệ: từ 0.0 đến 1.0."
"Weekly","Hằng tuần"
"Yearly","Hằng năm"
