"A block identifier with the same properties already exists in the selected store.","Một khối định danh vơi các tính chất tương tự đã tồn tại trong kho lựa chọn."
"A directory with the same name already exists. Please try another folder name.","Một thư mục cùng tên đã tồn tại. Hãy thử tên thư mục khác."
"A page URL key for specified store already exists.","Một khóa URL trang cho các cửa hàng xác định đã tồn tại."
"Action","Hành động"
"Add New Block","Thêm khối mới"
"Add New Page","Thêm trang mới"
"All Countries","Tất cả quốc gia"
"An error occurred while saving the page.","Có lỗi xảy ra trong khi lưu trang."
"Anchor Custom Text","Tùy chỉnh hiển thị văn bản liên kết"
"Anchor Custom Title","Tùy chỉnh hiển thị tiêu đề liên kết"
"Are you sure you want to delete current folder?","Bạn có chắc muốn xóa thư mục hiện tại?"
"Are you sure you want to delete the selected file?","Bạn có chắc chắn muốn xóa các tập tin đã chọn?"
"Block","Khối"
"Block Information","Khối thông tin"
"Block Title","Khối tiêu đề"
"CMS","CMS"
"CMS Content Wrapper","Bìa nội dụng CMS"
"CMS Home Page","Trang chủ CMS"
"CMS No Cookies Page","Trang CMS không cookie"
"CMS No Route Page","Trang CMS không tuyến đường"
"CMS No-Route Page","Trang CMS không tuyến đường"
"CMS Page","Trang CMS"
"CMS Page Link","Liên kết trang CMS"
"CMS Page Link Block Template","Khối mẫu liên kết trang CMS"
"CMS Page Link Inline Template","Mẫu liên kết trong Trang CMS"
"CMS Pages (All)","Các trang CMS (Tất cả)"
"CMS Static Block","Khối tĩnh CMS"
"CMS Static Block Default Template","Mẫu khối tĩnh CMS mặc định"
"Cannot create new directory.","Không thể tạo thư mục mới."
"Cannot delete directory %s.","Không thể xóa thư mục %s."
"Cannot delete root directory %s.","Không thể xóa thư mục gốc %s."
"Cannot upload file.","Không thể tải tập tin lên."
"Collapse All","Thu gọn tất cả"
"Content","Nội dung"
"Content Heading","Tiêu đề nội dung"
"Content Management","Quản lý nội dung"
"Contents of a Static Block","Nội dung của một khối tĩnh"
"Create Folder...","Tạo thư mục..."
"Custom Design","Thiết kế tùy chỉnh"
"Custom Design From","Thiết kế tùy chỉnh từ"
"Custom Design To","Thiết kế tùy chỉnh tới"
"Custom Layout","Bố trí tùy chọn"
"Custom Layout Update XML","Bố trí tùy chỉnh cập nhật XML"
"Custom Theme","Tùy chọn chủ đề"
"Customer Tax Class Information","Lớp thông tin thuế của khách hàng"
"Date Created","Ngày tạo"
"Delete Block","Xóa khối"
"Delete File","Xóa tập tin"
"Delete Folder","Xóa thư mục"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Design","Thiết kế"
"Disabled","Tắt"
"Disabled Completely","Tắt hoàn toàn"
"Disabled by Default","Tắt theo mặc định"
