"All Websites","Tất cả các trang web"
"Apply Discounts To FPT","Áp dụng giảm giá đến FPT"
"Display Prices In Emails","Hiển thị giá trong Email"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices In Sales Modules","Hiển thị giá trong mô đun bán hàng"
"Display Prices On Product View Page","Hiển thị giá trên trang xem sản phẩm"
"Enable FPT","Bật FPT"
"Excluding FPT","Không bao gồm FPT"
"Excluding FPT, FPT description, final price","Không bao gồm, mô tả FPT, giá cuối cùng"
"FPT Tax Configuration","Cấu hình thuế FPT"
"Fixed Product Tax","Cố định thuế sản phẩm"
"Fixed Product Taxes","Cố định thuế sản phẩm"
"Include FPT In Subtotal","Bao gồm FPT trong tổng số phụ"
"Including FPT and FPT description","Bao gồm FPT và môt tả FPT"
"Including FPT and FPT description [incl. FPT VAT]","Bao gồm cả FPT và mô tả FPT [incl. FPT VAT]"
"Including FPT only","Including FPT only"
"Loaded and Displayed with Tax","Tải và hiển thị với thuế"
"Not Taxed","Không tính thuế"
"Taxed","Đánh thuế"
"Total","Tổng số"
"Total Incl. Tax","Tổng số bao gồm thuế"
"Total excl. tax","Tổng số loại trừ thuế"
"Total incl. tax","Tổng số bao gồm thuế"
"Total:","Tổng số:"
