"An error occurred while clearing the external full page cache.","Có lỗi xảy ra khi xóa bộ nhớ cache trang đầy đủ bên ngoài."
"Cookie Lifetime (seconds)","Thời gian sống của Cookie(giây)"
"Enable External Cache","Bật bộ nhớ cache bên ngoài"
"External Cache Control","Điều khiển bộ nhớ cache bên ngoài"
"External Full Page Cache Settings","Thiết lập bộ nhớ cache trang đầy đủ bên ngoài"
"External Page Cache","Bộ nhớ cache trang bên ngoài"
"External full page cache.","Bộ nhớ cache trang đầy đủ bên ngoài."
"Failed to load external cache control","Thất bại khi tải điều khiển bộ nhớ cache bên ngoài"
"Flush External Page Cache","Tuông ra bộ nhớ cache trang bên ngoài"
"If empty, default value will be used.","Nếu trống, giá trị mặc định sẽ được sử dụng."
"The external full page cache has been cleaned.","Bộ nhớ cache trang đầy đủ bên ngoài đã được dọn."
"Zend Full Page Cache","Bộ nhớ cache trang Zend đầy đủ"
