"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - phù hợp với bất kỳ; 'xyz*' - phù hợp với bất kỳ bắt đầu vào 'xyz' và không dài hơn %d."
"-- Please Select --","-- Vui lòng chọn --"
"Add New Class","Thêm lớp mới"
"Add New Tax Rate","Thêm thuế suất mới"
"Add New Tax Rule","Thêm quy tắc thuế mới"
"After Discount","Sau chiết khấu"
"An error occurred while deleting this rate.","Có lỗi xảy ra trong khi xóa lãi suất này."
"An error occurred while deleting this rate. Incorrect rate ID.","Có lỗi xảy ra trong khi xóa lãi suất này. ID lãi suất không chính xác."
"An error occurred while deleting this tax class.","Có lỗi xảy ra trong khi xóa lớp thuế này."
"An error occurred while deleting this tax rule.","Có lỗi xảy ra trong khi xóa quy tắc thuế này."
"An error occurred while saving this tax class.","Có lỗi xảy ra trong khi lưu lớp thuế này."
"An error occurred while saving this tax class. A class with the same name","Có lỗi xảy ra trong khi lưu lớp thuế này. Một lớp với cùng tên"
"Apply Customer Tax","Áp dụng thuế khách hàng"
"Apply Discount On Prices","Áp dụng chiết khấu trên giá"
"Apply Tax On","Áp dụng thuế vào"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Áp dụng chiết khấu vào giá đã bao gồm thuế được tính dựa trên thuế cửa hàng, nếu ""Áp dụng thuế sau khi chiết khấu"" được chọn."
"Are you sure you want to do this?","Bạn có chắc chắn muốn làm điều này?"
"Back","Quay lại"
"Before Discount","Trước khi chiết khấu"
"CSV","CSV"
"Calculate off subtotal only","Tính ra tổng số phụ"
"Calculation Settings","Cài đặt tính toán"
"Catalog Prices","Danh mục giá"
"Class Name","Tên lớp"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Nhấp vào đây để đến <a href=""%s"">Cấu hình thuế</a> và thay đổi cài đặt của bạn."
"Code","Mã"
"Country","Country"
"Custom price if available","Tùy chỉnh giá nếu có sẵn"
"Customer Tax Class","Lớp thuế khách hàng"
"Customer Tax Class Information","Thông tin lớp thuế khách hàng"
"Customer Tax Classes","Các lớp thuế khách hàng"
"Default Country","Quốc gia mặc định"
"Default Post Code","Mã bưu chính mặc định"
"Default State","Tiểu bang mặc định"
"Default Tax Destination Calculation","Mặc định tính toán thuế đích"
"Delete Class","Xóa lớp"
"Delete Rate","Xóa lãi suất"
"Delete Rule","Xóa quy tắc"
"Display Full Tax Summary","Hiển thị đầy đủ bảng tóm tắt thuế"
"Display Prices","Hiển thị giá"
"Display Product Prices In Catalog","Hiển thị giá sản phẩm trong danh mục"
"Display Shipping Amount","Hiển thị số lượng vận chuyển"
"Display Shipping Prices","Hiển thị giá vận chuyển"
"Display Subtotal","Hiển thị tổng phụ"
"Display Zero Tax Subtotal","Hiển thị tổng số phụ thuế zero"
"Edit Class","Chỉnh sửa lớp"
"Edit Class '%s'","Chỉnh sửa lớp '%s'"
"Edit Rule","Chỉnh sửa quy tắc"
"Edit Tax Rate","Chỉnh sửa thuế suất"
"Enable Cross Border Trade","Kích hoạt tính năng thương mại xuyên biên giới"
"Excel XML","Excel XML"
"Excl. Tax","Loại trừ thuế"
"Excl. Tax:","Loại trừ thuế:"
"Excluding Tax","Loại trừ thuế"
"Export Tax Rates","Nhập thuế suất"
"Grand Total (Excl. Tax)","Tổng cộng (Không thuế)"
"Grand Total (Excl.Tax)","Tổng cộng (Không thuế)"
"Grand Total (Incl. Tax)","Tổng cộng (Gồm thuế)"
"Grand Total (Incl.Tax)","Tổng cộng (Gồm thuế)"
"Grand Total Excl. Tax","Tổng cộng không thuế"
"Grand Total Incl. Tax","Tổng cộng gồm thuế"
