"Abandoned Carts","Giỏ hàng bị bỏ"
"Abandoned carts","Giỏ hàng bị bỏ"
"Action","Hành động"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách ưa thích"
"Any","Bất kỳ"
"Applied Coupon","Áp dụng phiếu giảm giá"
"Applies to Any of the Specified Order Statuses","Áp dụng cho bất kỳ trạng thái đơn hàng được chỉ định"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Bạn có chắc chắn muốn làm mới bảng số liệu thời gian sống? Có thể có tác động hiệu quả trong hoạt động này."
"Are you sure?","Bạn có chắc chắn?"
"Avg. Approved Rating","Đánh giá được phê duyệt bình quân"
"Avg. Rating","Đánh giá bình quân"
"Bestsellers","Bán chạy nhất"
"Bought from wishlists","Mua từ danh sách ưa thích"
"CSV","CSV"
"Carts","Giỏ hàng"
"Catalog Category (Without Subcategories)","Danh mục thể loại (Không có mục con)"
"Compared Products Grid Template","Mẫu lưới sản phẩm so sánh"
"Compared Products List Template","Mẫu liệt kiệt sản phẩm so sánh"
"Coupons","Phiếu giảm giá"
"Coupons Usage Report","Báo cáo cách sử dụng phiếu giảm giá"
"Created At","Tạo tại"
"Current Month Starts","Tháng  bắt đầu hiện tại"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Tags","Thẻ khách hàng"
"Customers","Khách hàng"
"Customers Report","Báo cáo khách hàng"
"Customers Reviews","Nhận xét khách hàng"
"Customers Tags","Thẻ khách hàng"
"Customers by Number of Orders","Khách hàng theo số lượng đơn hàng"
"Customers by Orders Total","Khách hàng theo tổng đơn hàng"
"Customers by number of orders","Khách hàng theo số lượng đơn hàng"
"Customers by orders total","Khách hàng theo tổng số đơn hàng"
"Customers that have wishlist: %s%","Khách hàng có danh sách ưa thích: %s%"
"Dashboard","Bảng điều khiển"
"Day","Ngày"
"Default Recently Compared Products Count","Mặc định đếm các sản phẩm được so sánh gần đây"
"Default Recently Viewed Products Count","Mặc định đếm các sản phẩm được xem gần đây"
"Description","Mô tả"
"Detail","Chi tiết"
"Downloads","Tải xuống"
"Email","Email"
