"Access denied.","Từ chối truy cập."
"Can not find webservice adapter.","Không thể tìm thấy bộ chuyển đổi dịch vụ web."
"Client Session Timeout (sec.)","Thời gian chờ phiên khách hàng (giây.)"
"Default Response Charset","Mặc định phản hồi Charset"
"Email","Email"
"Enable WSDL Cache","Kích hoạt WSDL Cache"
"General Settings","Cài đặt chung"
"Invalid webservice adapter specified.","Bộ chuyển đổi dịch vụ web xác định không hợp lệ."
"Invalid webservice handler specified.","Bộ xử lý dịch vụ web không hợp lệ."
"Magento Core API","Magento Core API"
"Magento Core API Section","Mục Magento Core API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Vai trò"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Người dùng"
"Unable to login.","Không thể đăng nhập."
"User Name","Tên người dùng"
"WS-I Compliance","Tuân thủ WS-I"
"Web Services","Dịch vụ web"
"Your account has been deactivated.","Tài khoản của bạn đã bị vô hiệu hóa."
