"%s - Discounts and Coupons","%s - Chiết khấu và phiếu giảm giá"
"%s - Special Products","%s - Sản phẩm đặc biệt"
"%s RSS Feed","%s Nguồn dữ liệu RSS"
"%s has reached a quantity of %s.","%s đã đạt đến một số lượng của %s."
"%s\'s Wishlist","Danh sách ưa thích của %s"
"Cannot retrieve the wishlist","Không thể lấy danh sách ưa thích"
"Catalog","Danh mục"
"Category Feeds","Thể loại nguồn dữ liệu"
"Click for price","Nhấp xem giá"
"Comment: %s<br/>","Bình luận: %s<br/>"
"Coupons/Discounts","Phiếu giảm giá/Chiết khấu"
"Current Status: %s<br/>","Trạng thái hiện tại: %s<br/>"
"Customer Name: %s","Tên khách hàng: %s"
"Customer Order Status Notification","Thông báo trạng thái đơn hàng khách hàng"
"Details for %s #%s","Chi tiết cho %s #%s"
"Discount","Chiết khấu"
"Discount (%s)","Chiết khấu (%s)"
"Enable RSS","Bật RSS"
"Error in processing xml. %s","Lỗi trong xử lý xml. %s"
"From:","Từ:"
"Get Feed","Nhận nguồn cấp dữ liệu"
"Gift Message","Thông điệp quà tặng"
"Grand Total","Tổng cộng"
"Low Stock Products","Sản phẩm ít tồn kho"
"Message:","Thông điệp:"
"Miscellaneous Feeds","Nguồn dữ liệu linh tinh"
"New Orders","Đơn hàng mới"
"New Products","Sản phẩm mới"
"New Products from %s","Sản phẩm mới từ %s"
"Notified Date: %s<br/>","Ngày thông báo: %s<br/>"
"Order # %s Notification(s)","Thứ tự # %s thông báo"
"Order #%s created at %s","Đơn hàng #%s tạo lúc %s"
"Pending product review(s)","Nhận xét sản phẩm đang chờ giải quyết"
"Product: ""%s"" review By: %s","Sản phẩm: ""%s"" nhận xét Bởi: %s"
"Product: <a href=""%s"">%s</a> <br/>","Sản phẩm: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Sản phẩm được gắn thẻ với %s"
"Purchased From: %s","Mua từ: %s"
"RSS","RSS"
"RSS Feeds","Nguồn dữ liệu RSS"
"RSS Feeds List","Danh sách nguồn dữ liệu RSS"
"RSS Feeds Section","Mục nguồn dữ liệu RSS"
"Review: %s <br/>","Nhận xét: %s <br/>"
"Rss Config","Cấu hình Rss"
"Shipping &amp; Handling","Giao hàng &amp; Đang giải quyết"
"Special Products","Sản phẩm đặc biệt"
"Store: %s <br/>","Cửa hàng: %s <br/>"
"Subtotal","Tổng phụ"
"Summary of review: %s <br/>","Tóm tắt nhận xét: %s <br/>"
"Tags Products","Thẻ sản phẩm"
"Tax","Thuế"
"There are no Rss Feeds","Không có nguồn cấp dữ liệu RSS"
"To:","Tới:"
"Top Level Category","Loại cao cấp"
"Total: %s<br/>","Toàn bộ: %s<br/>"
"Wishlist","Danh sách ưa thích"
"click <a href=""%s"">here</a> to view the review","nhấp <a href=""%s"">vào đây</a> to view the review"
