"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Quy định giá giỏ mua sắm dựa trên ""%s"" thuộc tính đã tắt."
"%s Coupon(s) have been generated","%s Phiếu giảm giá đã được tạo"
"Actions","Hành động"
"Active","Hoạt động"
"Add New Rule","Thêm quy tắc mới"
"Alphabetical","Bảng chữ cái"
"Alphanumeric","Chữ và số"
"An error occurred while generating coupons. Please review the log and try again.","Có lỗi xảy ra trong khi tạo phiếu giảm giá. Vui lòng xem lại nhật ký và thử lại."
"Apply","Áp dụng"
"Apply To","Áp dụng cho"
"Apply the rule only if the following conditions are met (leave blank for all products)","Áp dụng quy tắc nếu các điều kiện sau được đáp ứng (bỏ trống cho tất cả sản phẩm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Áp dụng quy tắc đến giỏ hàng các mặt hàng phù hợp với các điều kiện sau đây (bỏ trống cho tất cả các mặt hàng)"
"Apply the rule to cart items matching the following conditions","Áp dụng quy tắc đến các mục trong giỏ để phù hợp với các điều kiện sau đây"
"Apply to Shipping Amount","Áp dụng đối với số lượng vận chuyển"
"Are you sure you want to delete the selected coupon(s)?","Bạn có chắc chắn muốn xóa phiếu giảm giá đã chọn?"
"Auto","Tự động"
"Auto Generated Specific Coupon Codes","Tự động tạo mã phiếu giảm giá cụ thể"
"Buy X get Y free (discount amount is Y)","Mua X nhận Y miễn phí (số tiền chiết khấu là Y)"
"By Fixed value","Theo giá trị cố định"
"By Percentage","Theo tỉ lệ"
"Can\'t acquire coupon.","Không thể có được phiếu giảm giá."
"Cart Attribute","Giỏ thuộc tính"
"Catalog","Danh mục"
"Code Format","Định dạng mã"
"Code Length","Chiều dài mã"
"Code Prefix","Mã tiền tố"
"Code Suffix","Mã hậu tố"
"Conditions","Các điều kiện"
"Conditions combination","Điều kiện kết hợp"
"Coupon","Phiếu giảm giá"
"Coupon Code","Mã giảm giá"
"Coupon Qty","Số lượng phiếu giảm giá"
"Coupon with the same code","Phiếu giảm giá với cùng mã"
"Coupons Information","Thông tin phiếu giảm giá"
"Created On","Được tạo trên"
"Customer Groups","Nhóm khách hàng"
"Dash Every X Characters","Mỗi gạch ngang X ký tự"
"Date Expire","Ngày hết hạn"
"Date Start","Ngày bắt đầu"
"Default Label","Nhãn mặc định"
"Default Rule Label for All Store Views","Nhãn quy tắc mặc định cho tất cả cửa hàng xem"
"Description","Mô tả"
"Discount Amount","Số tiền chiết khấu"
"Discount Qty Step (Buy X)","Giảm số lượng bước (Mua X)"
"Edit Rule","Chỉnh sửa quy tắc"
"Edit Rule '%s'","Chỉnh sửa quy tắc '%s'"
"Excluding prefix, suffix and separators.","Không bao gồm tiền tố, hậu tố và dấu phân cách."
"FOUND","TÌM THẤY"
"Fixed amount discount","Cố định số lượng chiết khấu"
"Fixed amount discount for whole cart","Cố định số lượng chiết khấu cho toàn bộ cửa hàng"
"For matching items only","Đối với chỉ các mặt hàng phù hợp"
"For shipment with matching items","Đối với lô hàng với các mặt hàng phù hợp"
"Free Shipping","Miễn phí vận chuyển"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"Generate","Tạo"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Nếu %s %s %s cho một lựa chọn phụ trong giỏ phù hợp %s trong những điều kiện:"
"If an item is %s in the cart with %s of these conditions true:","Nếu một mục là %s trong giỏ với %s trong những điều kiện đúng:"
