"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' quá dài. Nó phải có chiều dài %min% kí tự."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' quá ngắn. Nó phải dài %min% kí tự."
"* Required Fields","* Bắt buộc"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> yêu cầu đăng nhập vào tài khoản của bạn"
"Admin","Người quản trị"
"After authorization application will have access to you account.","Sau khi ủy quyền ứng dụng sẽ có quyền truy cập vào tài khoản của bạn."
"An error occurred on confirm authorize.","Có lỗi xảy ra khi xác nhận ủy quyền."
"An error occurred on delete action.","Có lỗi xảy ra về hành động xóa."
"An error occurred on delete application.","Có lỗi xảy ra về ứng dụng xóa."
"An error occurred on reject authorize.","Có lỗi xảy ra về từ chối ủy quyền."
"An error occurred on saving consumer data.","Có lỗi xảy ra về lưu dữ liệu người dùng."
"An error occurred on update revoke status.","Cõ lỗi xảy ra về cập nhật tình trạng thu hồi."
"An error occurred while deleting the consumer.","Có lỗi xảy ra trong khi xóa người dùng."
"An error occurred.","Có lỗi xảy ra."
"An error occurred. Your authorization request is invalid.","Có lỗi xảy ra. Yêu cầu ủy quyền của bạn không hợp lệ."
"App Name","Tên ứng dụng"
"Application ""%s"" has been deleted.","Ứng dụng ""%s"" đã bị xóa."
"Application ""%s"" has been enabled.","Ứng dụng ""%s"" đã được kích hoạt."
"Application ""%s"" has been revoked.","Ứng dụng ""%s"" đã bị thu hồi."
"Application Name","Tên ứng dụng"
"Application not found.","Không tìm thấy ứng dụng."
"Are you sure you want to delete this application?","Bạn có chắc muốn xóa ứng dụng này?"
"Are you sure you want to disable this application?","Bạn có chắc chắn muốn vô hiệu hóa ứng dụng này?"
"Are you sure you want to enable this application?","Bạn có chắc muốn kích hoạt ứng dụng này?"
"Authorization confirmed","Ủy quyền được xác nhận"
"Authorization confirmed.","Ủy quyền được xác nhận."
"Authorize","Ủy quyền"
"Authorize application","Ủy quyền cho ứng dụng"
"Authorized Tokens","Thẻ ủy quyền"
"Callback URL","URL gọi lại"
"Cleanup Probability","Khả năng dọn dẹp"
"Cleanup Settings","Thiết lập dọn dẹp"
"Close","Đóng"
"Confirm OAuth token authorization","Xác nhận thẻ ủy quyền OAuth"
"Confirm token authorization Pop Up for admin","Xác nhận thẻ ủy quyền Pop Up cho quản trị viên"
"Confirm token authorization for admin","Xác nhận thẻ ủy quyền cho quản trị viên"
"Confirmation Of Authorization","Chứng nhận của ủy quyền"
"Consumer Information","Thông tin người tiêu dùng"
"Consumer Name","Tên người tiêu dùng"
"Consumers","Người tiêu dùng"
"Created At","Tạo ra tại"
"Current Admin Password","Mật khẩu quản trị hiện tại"
"Customer","Khách hàng"
"Customer My Account My OAuth Applications","Ứng dụng OAuth tài khoản của tôi của khách hàng"
"Delete","Xóa"
"Disable","Tắt"
"Disabled","Đã tắt"
"Edit","Chỉnh sửa"
"Edit Consumer","Chỉnh sửa người dùng"
"Email","Email"
"Email Address","Địa chỉ email"
"Enable","Bật"
"Enabled","Đã bật"
"Entry with ID #%s not found.","Nhập với ID #%s không được tìm thấy."
"Expiration Period","Thời hạn"
"Give the verifier code to application administrator","Cung cấp mã xác minh tới ứng dụng người quản trị"
"ID","ID"
"Invalid Callback URL","URL gọi lại không hợp lệ"
"Invalid ID parameter.","Thông số ID không hợp lệ."
"Invalid Rejected Callback URL","URL từ chối gọi lại không hợp lệ"
"Invalid entry ID.","Nhập ID không hợp lệ."
"Invalid revoke status.","Tình trạng thu hồi không hợp lệ."
"Key","Chìa khóa"
"Log In","Đăng nhập"
"Log in as a customer","Đăng nhập như là một khách hàng"
