"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Liên kết</a>"
"Actions XML is not valid.","Hành động XML không hợp lệ."
"An error occurred while opening file: ""%s"".","Có lỗi xảy ra trong khi mở tập tin: ""%s""."
"Could not load file: ""%s"".","Không thể tải tập tin: ""%s""."
"Could not save file: %s.","Không thể lưu tập tin: %s."
"Declared adapter %s was not found.","Bộ chuyển đổi khai báo %s không được tìm thấy."
"Destination folder ""%s"" is not a directory.","Thư mục đích ""%s"" không phải là một thư mục."
"Destination folder ""%s"" is not writable.","Thư mục đích ""%s"" không cho phép ghi."
"Done","Làm xong"
"Dry run set, stopping execution.","Thiết lập chạy cạn, dừng sự thi hành."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Lỗi trong mục bản đồ: danh sách các mục để bản đồ không được định nghĩa."
"File ""%s"" does not exist.","Tập tin ""%s"" không tồn tại."
"Found %d rows.","Tìm thấy %d hàng."
"Less than a minute","Ít hơn một phút"
"Loaded successfully: ""%s"".","Tải thành công: ""%s""."
"Memory Used: %s","Bộ nhớ đã sử dụng: %s"
"Method ""%s"" not defined in adapter %s.","Phương thức ""%s"" không được định nghĩa trong bộ chuyển đổi %s."
"Method ""%s"" was not defined in adapter %s.","Phương thức ""%s"" không được định nghĩa trong bộ chuyển đổi %s."
"Please declare ""adapter"" and ""method"" nodes first.","Vui lòng khai báo các nút ""bộ chuyển đổi"" và ""phương thức"" trước tiên."
"Processed records: %s","Hồ sơ xử lý: %s"
"Profile with the same name already exists.","Hồ sơ có cùng tên đã tồn tại."
"Saved successfully: ""%s"" [%d byte(s)].","Đã lưu thành công: ""%s"" [%d byte(s)]."
"Sheet 1","Sheet 1"
"Skip undefined row.","Bỏ qua hàng không được định nghĩa."
"Starting %s :: %s","Bắt đầu %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Thư mục đích ""%s"" không tồn tại hoặc không có quyền truy cập để tạo nó."
"Total records: %s","Tổng số bản ghi: %s"
"hour","giờ"
"hours","giờ"
"minute","phút"
"minutes","phút"
