"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Mã xác nhận là trường hợp nhạy cảm."
"After number of attempts to login","Sau nhiều lần cố gắng đăng nhập"
"Always","Luôn luôn"
"CAPTCHA","MÃ XÁC NHẬN"
"CAPTCHA Timeout (minutes)","Thời gian chờ mã xác nhận (phút)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Mã xác nhận cho hình thức""Tạo người dùng"" và ""Quên mật khẩu"" luôn được kích hoạt nếu được chọn"
"Case Sensitive","Trường hợp nhạy cảm"
"Displaying Mode","Chế độ hiển thị"
"Enable CAPTCHA in Admin","Kích hoạt tính năng mã xác thực trong quản trị"
"Enable CAPTCHA on Frontend","Kích hoạt tính năng mã xác nhận trên lối vào"
"Font","Phông chữ"
"Forms","Hình thức"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Nếu 0 được quy định, mã xác nhận trên bảng đăng nhập sẽ luôn có sẵn."
"Incorrect CAPTCHA.","Mã xác nhận không chính xác."
"Number of Symbols","Số kí hiệu"
"Number of Unsuccessful Attempts to Login","Số lần nỗ lực đăng nhập không thành công"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Xác định nhiều nhất 8 kí hiệu. Phạm vi được phép (Ví dụ 3-5)"
"Please type the letters below","Vui lòng nhập các kí tự bên dưới"
"Please type the letters from the image:","Vui lòng nhập các kí tự từ hình ảnh:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z) hoặc số (0-9) trong mục này. Không cho phép khoảng trắng hoặc các kí tự khác.<br />Các kí tự tìm kiếm tương tự (ví dụ. ""i"", ""l"", ""1"") giảm cơ hội của việc công nhận chính xác bởi khách hàng."
"Reload captcha","Tải lại mã xác nhận"
"Symbols Used in CAPTCHA","Các ký hiệu sử dụng trong mã xác nhận"
