"""%s"" contains not only digit characters.","""%s"" chứa không chỉ kí tự chữ số."
"""%s"" does not fit the entered date format.","""%s"" không phù hợp với định dạng ngày vào."
"""%s"" exceeds the allowed file size.","""%s"" vượt quá kích thước cho phép."
"""%s"" exceeds the allowed length.","""%s"" vượt quá độ dài cho phép."
"""%s"" has not only alphabetic and digit characters.","""%s"" không chỉ có các kí tự chữ cái và chữ số."
"""%s"" has not only alphabetic characters.","""%s"" không chỉ có các kí tự chữ."
"""%s"" height exceeds allowed value of %s px.","""%s"" chiều cao vượt quá giá trị cho phép của %s px."
"""%s"" invalid type entered.","""%s"" Kiểu vào không hợp lệ."
"""%s"" is a required value.","""%s"" là một giá trị cần thiết."
"""%s"" is an empty string.","""%s"" là một chuỗi rỗng."
"""%s"" is not a valid URL.","""%s"" không phải là một URL hợp lệ."
"""%s"" is not a valid date.","""%s"" không phải là một ngày hợp lệ."
"""%s"" is not a valid email address.","""%s"" không phải là một địa chỉ email hợp lệ."
"""%s"" is not a valid file","""%s"" không phải là một tập tin hợp lệ"
"""%s"" is not a valid file extension.","""%s"" không phải là một tập tin mở rộng hợp lệ."
"""%s"" is not a valid file.","""%s"" không phải là một tập tin hợp lệ."
"""%s"" is not a valid hostname.","""%s"" không phải là một tên máy chủ hợp lệ."
"""%s"" is not a valid image format","""%s"" không phải là một định dạng hình ảnh hợp lệ"
"""%s"" length must be equal or greater than %s characters.","""%s"" chiều dài phải bằng hoặc lớn hơn %s kí tự."
"""%s"" length must be equal or less than %s characters.","""%s"" chiều dài phải bằng hoặc ít hơn %s kí tự."
"""%s"" width exceeds allowed value of %s px.","""%s"" chiều rộng vượt quá giá trị cho phép của %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' dường như là một tên máy chủ DNS nhưng không thể trích xuất phần TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với danh sách TLD đã biết"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' dường như là một tên máy chủ DNS nhưng không thể hợp với sơ đồ tên máy chủ cho TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' như là một tên máy chủ DNS nhưng có chứa một đấu gạch ngang ở vị trí không hợp lệ"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' như là một tên máy chủ DNS nhưng các kí hiệu mã puny không thể được giải mã"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' như là một tên mạng nội bộ nhưng tên mạng nội bộ không được cho phép"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' như là một địa chỉ IP, nhưng địa chỉ IP không được phép"
"'%value%' does not appear to be a valid URI hostname","'%value%' không như là một tên máy chủ URL hợp lệ"
"'%value%' does not appear to be a valid local network name","'%value%' không như là một tên mạng nội bộ hợp lệ"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' không đúng với cấu trúc dự kiến cho một tên máy chủ DNS"
"A joint field with this alias (%s) is already declared","Một mục chung với bí danh này (%s) đã được công bố"
"Add Option","Thêm tùy chọn"
"An error occurred while loading a record, aborting. Error: %s","Có lỗi xảy ra trong khi đang tải một bản ghi, hủy bỏ. Lỗi: %s"
"An error occurred while loading the collection, aborting. Error: %s","Có lỗi xảy ra khi tải các bộ sưu tập, hủy bỏ. Lỗi: %s"
"An error occurred while saving a record, aborting. Error: ","Có lỗi xảy ra trong khi lưu một bản ghi, hủy bỏ. Lỗi: "
"Attempt to add an invalid object","Cố gắng thêm một đối tượng không hợp lệ"
"Attribute '%s' used in configurable products","Thuộc tính '%s' được sử dụng trong cấu hình các sản phẩm"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn thuộc tính"
"Attribute Properties","Tính chất thuộc tính"
"Attribute object is undefined","Đối tượng thuộc tính không xác định"
"Attribute set with the ""%s"" name already exists.","Thiết lập thuộc tính với tên ""%s"" đã tồn tại."
"Attribute with the same code","Thuộc tính với cùng một mã"
"Can\'t create table: %s","Không thể tạo bảng: %s"
"Catalog Input Type for Store Owner","Danh mục loại đầu vào cho chủ cửa hàng"
"Current module EAV entity is undefined","Mô-đun thực thể EAV hiện tại là không xác định"
"Current module pathname is undefined","Đường dẫn mô đun hiện tại không xác định"
"Data integrity: No header row found for attribute","Toàn vẹn dữ liệu: không tìm thấy dòng tiêu đề cho thuộc tính"
"Date","Ngày"
"Decimal Number","Số thập phân"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Mặc định sản phẩm sắp xếp theo danh sách không tồn tại trong bảng danh sách sản phẩm có sẵn."
"Default Value","Giá trị mặc định"
"Default option value is not defined","Giá trị tùy chọn mặc định không được định nghĩa"
"Delete","Xóa"
"Dropdown","Thả xuống"
"Email","Email"
"Entity collection expected.","Bộ sưu tập thực thể được mong đợi."
"Entity collections expected.","Bộ sưu tập thực thể được mong đợi."
"Entity instance is not defined","Trường hợp thực thể không được định nghĩa"
"Entity is not initialized","Đơn vị không được khởi tạo"
"Entity object is undefined","Đối tượng thực thể là không xác định"
"Failed to load node %s from config","Không tải được nút %s từ cấu hình"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Cho sử dụng nội bộ. Phải là duy nhất không có dấu cách. Chiều dài tối đa của mã thuộc tính phải ít hơn %s kí tự"
"Form Element with the same attribute","Mẫu phần tử với cùng thuộc tính"
"Form Fieldset with the same code","Mẫu thiết lập mục với cùng mã"
"Form Type with the same code","Hình thức kiểu với cùng một mã"
"Form code is not defined","Mẫu mã không được định nghĩa"
"Frontend label is not defined","Nhãn lối vào không được định nghĩa"
"Input Validation for Store Owner","Xác nhận đầu vào cho chủ sở hữu cửa hàng"
"Integer Number","Số nguyên"
"Invalid EAV attribute.","Thuộc tính EAV không hợp lệ."
"Invalid alias, already exists in joint attributes","Bí danh không hợp lệ, đã tồn tại trong các thuộc tính chung"
"Invalid attribute name: %s","Tên thuộc tính không hợp lệ: %s"
"Invalid attribute requested: %s","Yêu cầu thuộc tính không hợp lệ: %s"
"Invalid attribute type","Loại thuộc tính không hợp lệ"
"Invalid character encountered in increment ID: %s","Gặp phải kí tự không hợp lệ trong ID gia tăng: %s"
"Invalid date","Ngày không hợp lệ"
"Invalid default date","Ngày mặc định không hợp lệ"
"Invalid default decimal value","Giá trị thập phân mặc định không hợp lệ"
"Invalid entity specified","Thực thể xác định không hợp lệ"
"Invalid entity supplied.","Thực thể thêm vào không hợp lệ."
"Invalid entity supplied: %s","Thực thể thêm vào không hợp lệ: %s"
"Invalid entity type","Loại thực thể không hợp lệ"
"Invalid entity_id, skipping the record.","ID thực thể không hợp lệ, bỏ qua bản ghi."
"Invalid entity_type specified: %s","Loại thực thể xác định không hợp lệ: %s"
"Invalid foreign key","Khóa ngoài không hợp lệ"
"Invalid form type.","Kiểu mẫu không hợp lệ."
"Invalid joint fields","Các mục chung không hợp lệ"
"Invalid store specified","Cửa hàng xác định không hợp lệ"
"Invalid type given. String expected","Kiểu nhất định không hợp lệ. Chuỗi dụ kiễn"
"Joined field with this alias is already declared","Mục tham gia với bí danh này đã được công bố"
"Joint field or attribute expression with this alias is already declared","Mục chung hoặc biểu hiện thuộc tính với bí danh này đã được công bố"
"Letters","Mẫu tự"
"Letters (a-z, A-Z) or Numbers (0-9)","Mẫu tự (a-z, A-Z) hoặc số (0-9)"
"Loaded %d records","Nạp %d hồ sơ"
"Maximum length of attribute code must be less then %s symbols","Chiều dài tối đa của mã thuộc tính phải ít hơn %s kí tự"
"Multiple Select","Nhiều lựa chọn"
"No","Không"
"No options found in config node %s","Không có tùy chọn được tìm thấy trong nút cấu hình %s"
"None","Không"
"Not shared with other products","Không được chia sẻ với các sản phẩm khác"
"Problem loading the collection, aborting. Error: %s","Vấn đề tải các bộ sưu tập, hủy bỏ. Lỗi: %s"
"Problem saving the collection, aborting. Error: %s","Vấn đề lưu các bộ sưu tập, hủy bỏ. Lỗi: %s"
"Required","Bắt buộc"
"Saved %d record(s).","Lưu %d bản ghi."
"Source model ""%s"" not found for attribute ""%s""","Mô hình nguồn ""%s"" không tìm thấy cho thuộc tính ""%s"""
"System","Hệ thống"
"Text Area","Vùng văn bản"
"Text Field","Mục văn bản"
"The value of attribute ""%s"" must be unique","Giá trị của thuộc tính ""%s"" phải là duy nhất"
"The value of attribute ""%s"" must be unique.","Giá trị của thuộc tính ""%s"" phải là duy nhất."
"This attribute is used in configurable products","Thuộc tính này được sử dụng trong cấu hình sản phẩm"
"URL","URL"
"Unique Value","Giá trị duy nhất"
"Unique Value (not shared with other products)","Giá trị duy nhất (không được chia sẻ với các sản phẩm khác)"
"Unknown parameter","Thông số chưa biết"
"Values Required","Giá trị bắt buộc"
"Wrong attribute group ID","Sai ID nhóm thuộc tính"
"Wrong attribute set ID","Sai ID thiết lập thuộc tính"
"Wrong entity ID","Sai ID thực thể"
"Wrong type definition for %s","Sai kiểu định nghĩa cho %s"
"Yes","Có"
"Yes/No","Có/Không"
