"ALL","TẤT CẢ"
"ANY","BẤT KỲ"
"Add","Thêm"
"Apply","Áp dụng"
"Conditions Combination","Điều kiện kết hợp"
"Customer Groups must be specified.","Nhóm khách hàng phải được xác định."
"End Date must be greater than Start Date.","Ngày kết thúc phải lớn hơn ngày bắt đầu."
"FALSE","SAI"
"If %s of these conditions are %s:","Nếu %s tình trạng này đều %s:"
"Invalid discount amount.","Số tiền chiết khấu không hợp lệ."
"Open Chooser","Mở trình lựa chọn"
"Perform following actions","Thực hiện các hành động sau đây"
"Please choose a condition to add...","Vui lòng chọn một điều kiện để thêm..."
"Please choose an action to add...","Vui lòng chọn một hành động để thêm..."
"Remove","Gỡ"
"TRUE","ĐÚNG"
"There is no information about associated entity type ""%s"".","Không có thông tin về loại thực thể đã liên kết ""%s""."
"Websites must be specified.","Các trang web phải được xác định."
"by","bởi"
"contains","chứa"
"does not contain","không chứa"
"does not contains","không chứa"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"for","cho""
"for greater than","cho lớn hơn"
"for or greater than","cho hoặc lớn hơn"
"found","tìm thấy"
"from","từ"
"greater than","lớn hơn"
"is","là"
"is not","là không"
"is not one of","không phải là một trong những"
"is one of","là một trong những"
"less than","ít hơn"
"not found","không tìm thấy"
"not from","không phải từ"
"to","đến"
"was","là"
"was not","không là"
