"%s %s cycle.","%s %s cycle."
"* Required Fields","* Bắt buộc"
"--Please Select--","--Vui lòng chọn--"
"3D Secure Card Validation","Thẻ xác nhận 3D Secure"
"3D Secure Credit Card Validation","Thẻ xác nhận tín dụng 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Tạo phiếu thanh toán cho:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Một giá trị cần thiết cho chế độ trực tiếp. Hãy tham khảo thỏa thuận CardinalCommerce."
"Allow Initial Fee Failure","Cho phép không phí khởi đầu"
"An internal reference ID is required to save the payment profile.","Một ID tham chiếu nội bộ là cần thiết để lưu hồ sơ thanh toán."
"Authorize action is not available.","Hành động cấp phép không có sẵn."
"Auto Bill on Next Cycle","Hóa đơn tự động trên các chu kỳ tiếp theo"
"Automatically Invoice All Items","Tự động lập hóa đơn tất cả các mục"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Tự động ghi hóa đơn số tiền dư nợ trong chu kỳ thanh toán tiếp theo (nếu có các khoản thanh toán không thành công)."
"Bank Transfer Payment","Thanh toán chuyển khoản ngân hàng"
"Billing Agreement status is not set.","Tình trạng thỏa thuận thanh toán không được thiết lập."
"Billing Amount","Số tiền thanh toán"
"Billing Frequency","Tần số thanh toán"
"Billing Period","Thời gian thanh toán"
"Billing Period Unit","Đơn vị thời gian thanh toán"
"Billing period unit is not defined or wrong.","Đơn vị thời hạn thanh toán không xác định hoặc sai."
"Cannot retrieve the payment info model object.","Không thể lấy thông tin thanh toán đối tượng mẫu."
"Cannot retrieve the payment information object instance.","Không thể lấy thông tin thanh toán thực thể đối tượng."
"Cannot retrieve the payment method code.","Không thể lấy mã phương thức thanh toán."
"Cannot retrieve the payment method model object.","Không thể lấy đối tượng mô hình phương thức thanh toán."
"Capture action is not available.","Hành động chụp không có sẵn."
"Card Verification Number","Số thẻ xác nhận"
"Cash On Delivery Payment","Tiền mặt thanh toán giao hàng"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Kiểm tra / Tiền đặt hàng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Number: xxxx-%s","Số thẻ tín dụng: xxxx-%s"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Type: %s","Loại thẻ tín dụng: %s"
"Credit Card Types","Loại thẻ tín dụng"
"Credit card number mismatch with credit card type.","Số thẻ tín dụng không đúng với loại thẻ tín dụng."
"Credit card type is not allowed for this payment method.","Loại thẻ tín dụng không được phép cho phương thức thanh toán này."
"Currency","Tiền tệ"
"Currency code is undefined.","Mã tiền tệ không xác định."
"Customer ID is not set.","ID khách hàng không được thiết lập."
"Day","Ngày"
"Debug Mode","Chế độ gỡ lỗi"
"Enabled","Đã bật"
"Expiration Date","Ngày hết hạn"
"Expiration Date: %s/%s","Ngày hết hạn: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Tên đầy đủ của người nhận sản phẩm hoặc dịch vụ trả tiền cho việc thanh toán định kỳ."
"Incorrect credit card expiration date.","Hạn sử dụng thẻ tín dụng không đúng."
"Initial Fee","Phí ban đầu"
"Initial non-recurring payment amount due immediately upon profile creation.","Số tiền thanh toán ban đầu không định kì ngay lập tức khi tạo hồ sơ."
"Instructions","Hướng dẫn"
"Internal Reference ID","ID tham chiếu nội bộ"
"Invalid Credit Card Number","Số thẻ tín dụng không hợp lệ"
"Issue Number","Số phát hành"
"Make Check Payable to","Tạo phiếu thanh toán cho"
"Make Check payable to:","Tạo phiếu thanh toán cho:"
"Make Check payable to: %s","Tạo phiếu thanh toán cho: %s"
"Maximum Billing Cycles","Chu kỳ thanh toán tối đa"
"Maximum Order Total","Tổng số đặt hàng tối đa"
"Maximum Payment Failures","Thất bại thanh toán tối đa"
"Maximum Trial Billing Cycles","Chu kỳ thanh toán thử nghiệm tối đa"
"Merchant ID","ID thương nhân"
"Minimum Order Total","Tổng số đặt hàng tối thiểu"
"Month","Tháng"
"N/A","N/A"
"Name on Card","Tên trên thẻ"
"Name on the Card","Tên trên thẻ"
"Name on the Card: %s","Tên trên thẻ: %s"
"New Order Status","Tình hình đơn hàng mới"
"Number of billing periods that make up one billing cycle.","Số kỳ thanh toán tạo nên chu kỳ thanh toán."
"Order action is not available.","Hành động đặt hàng không có sẵn."
"Overrides API URL that may be specified by a payment method.","Ghi đè API URL có thể được xác định bởi một phương thức thanh toán."
"Password","Mật khẩu"
"Payment ID: %s","ID thanh toán: %s"
"Payment Method","Phương thức thanh toán"
"Payment Methods","Phương thức thanh toán"
"Payment Methods Section","Mục phương thức thanh toán"
"Payment Reference ID","ID tham chiếu thanh toán"
"Payment Services","Dịch vụ thanh toán"
"Payment from Applicable Countries","Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Payment method code is not set.","Mã phương thức thanh toán không được thiết lập."
"Payment method code is undefined.","Mã phương thức thanh toán không xác định."
"Payment profile is invalid:\n%s","Hồ sơ thanh toán không hợp lệ:\n%s"
"Period frequency is wrong.","Tần số thời gian sai."
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Processor ID","ID bộ xử lý"
"Purchase Order","Mua đơn hàng"
"Purchase Order Number","Số lượng đơn đặt hàng"
"Purchase Order Number:","Số lượng đơn đặt hàng:"
"Purchase Order Number: %s","Số lượng đơn đặt hàng: %s"
"Recurring Profile Start Date","Ngày bắt đầu hồ sơ theo định kỳ"
"Recurring profile start date has invalid format.","Ngày bắt đầu hồ sơ định kỳ có định dạng không hợp lệ."
"Reference ID is not set.","ID tham chiếu không được thiết lập."
"Refund action is not available.","Hành động hoàn trả không có sẵn."
"Repeats %s time(s).","Lặp lại %s lần."
"Repeats until suspended or canceled.","Lặp lại cho tới khi bị tạm dừng hoặc hủy bỏ."
"Request Card Security Code","Yêu cầu mã thẻ bảo vệ"
"Saved CC","Đã lưu CC"
"Schedule Description","Lịch mô tả"
"Schedule description must be not empty.","Lịch mô tả phải không có sản phẩm nào."
"Selected payment type is not allowed for billing country.","Loại hình thanh toán được chọn không được phép cho quốc gia thanh toán."
"Send Check to","Gửi phiếu tới"
"Send Check to:","Gửi phiếu tới:"
"Severe 3D Secure Card Validation","Thẻ xác nhận 3D Secure nghiêm ngặt"
"Severe validation removes chargeback liability on merchant.","Xác nhận nghiêm ngặt loại bỏ trách nhiệm bồi hoàn trong buôn bán."
"Shipping Amount","Số tiền vận chuyển"
"Short description of the recurring payment. By default equals to the product name.","Mô tả ngắn về thanh toán định kỳ. Theo mặc định bằng tên sản phẩm."
"Sort Order","Sắp xếp đơn hàng"
"Start Date","Ngày bắt đầu
"Start date has invalid format.","Ngày bắt đầu có định dạng không hợp lệ."
"Start date is undefined.","Ngày bắt đầu không xác định."
"Subscriber Name","Tên thuê bao"
"Switch/Solo/Maestro Issue Number","Số phát hành Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Chỉ Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Ngày bắt đầu Switch/Solo/Maestro"
"Tax Amount","Số tiền thuế"
"Test Mode","Chế độ kiểm tra"
"The date when billing for the profile begins.","Ngày khi việc thanh toán cho các hồ sơ bắt đầu."
"The number of billing cycles for payment period.","Số lượng các kỳ thanh toán cho giai đoạn thanh toán."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Số lần thanh toán theo lịch trình đó có thể thất bại trước khi hồ sơ tự động bị đình chỉ."
"The payment review action is unavailable.","Hành động xem lại thanh toán không có sẵn."
"The requested Payment Method is not available.","Các phương thức thanh toán được yêu cầu không có sẵn."
"Title","Tiêu đề"
"Trial Billing Amount","Số tiền thanh toán thử nghiệm"
"Trial Billing Frequency","Tần số thanh toán thử nghiệm"
"Trial Billing Period Unit","Đơn vị thời hạn thanh toán thử nghiệm"
"Trial Period","Thời hạn thử nghiệm"
"Trial billing amount is wrong.","Số tiền thanh toán thử nghiệm sai."
"Trial billing period unit is wrong.","Đơn vị thời hạn thanh toán thử nghiệm sai."
"Trial period frequency is wrong.","Tần số thời hạn thử nghiệm sai."
"Trial period max cycles is wrong.","Chu kỳ tối đa thời hạn thử nghiệm sai."
"Two Weeks","Hai tuần"
"Unable to save Billing Agreement:","Không thể lưu Hiệp định thanh toán:"
"Unit for billing during the subscription period.","Đơn vị thanh toán trong thời gian đăng ký."
"Unsupported currency code: %s.","Mã tiền tệ không được hỗ trợ: %s."
"Void action is not available.","Hành động vô hiệu không có sẵn."
"Week","Tuần"
"What is this?","Đây là gì?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Cho dù tạm dừng các hồ sơ thanh toán nếu các khoản phí ban đầu không thành hoặc thêm nó vào số nợ đang giải quyết."
"Wrong %s specified.","Sai %s xác định."
"Wrong or empty billing amount specified.","Số tiền hóa đơn chỉ định sai hoặc rỗng."
"Year","Năm"
"Zero Subtotal Checkout","Không thanh toán tổng số phụ"
