"%s Item(s)","%s mục"
"%s-%s of %s","%s-%s của %s"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Nhấp hoặc kéo để thay đổi giá trị"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Nhấp vào bất cứ phần thời gian nào để làm tăng nó"
"- Hold mouse button on any of the above buttons for faster selection.","- Giữ nút chuột ở bất kỳ mấy nút trên để lựa chọn nhanh hơn."
"- Use the %s buttons to select month","- Dùng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Dùng nút %s, %s để chọn năm"
"- or Shift-click to decrease it","- hoặc Shift-click để giảm nó xuống"
"- or click and drag for faster selection.","- hoặc nhấp và kéo để lựa chọn nhanh hơn."
"-- Please Select --","-- Vui lòng chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với thanh bên trái"
"2 columns with right bar","2 cột với thanh bên phải"
"3 columns","3 cột"
"About the calendar","Về lịch"
"Account","Tài khoản"
"All Empty Layout Pages","Tất cả các trang bố cục trống"
"All One-Column Layout Pages","Tất cả các trang bố trí 1-cột"
"All Pages","Tất cả các trang"
"All Pages (Print Version)","Tất cả các trang (Phiên bản in)"
"All Three-Column Layout Pages","Tất cả các trang bố trí 3-cột"
"All Two-Column Layout Pages (Left Column)","Tất cả các trang bố trí 2-cột (Cột bên trái)"
"All Two-Column Layout Pages (Right Column)","Tất cả các trang bố trí 2-cột (Cột bên phải)"
"Allow","Cho phép"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Nhấp <a href=""%s"">vào đây</a> nếu không có gì xảy ra"
"Close","Đóng"
"Close Window","Đóng cửa sổ"
"DHTML Date/Time Selector","Bộ lựa chọn Ngày/Thời gian DHTML"
"Date selection:","Chọn ngày:"
"Default Description","Mô tả mặc định"
"Default welcome msg!","Tin nhắn chào mừng mặc định!"
"Display %s first","Hiển thị %s trước"
"Distributed under GNU LGPL. See %s for details.","Được phân phối theo GNU LGPL. Xem %s để biết chi tiết."
"Drag to move","Kéo để di chuyển"
"Empty","Trống"
"For latest version visit: %s","Đối với lần ghé thăm phiên bản mới nhất: %s"
"Free Shipping on orders over 50$","Vận chuyển miễn phí đơn hàng trên 50$"
"Go Today","Đi hôm nay"
"Help Us to Keep Magento Healthy","Giúp chúng tôi để giữ cho Magento mạnh mẽ"
"Interface Language","Giao diện ngôn ngữ"
"Items %s to %s of %s total","Mục %s đến %s của %s tổng số"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu hóa trong trình duyệt của bạn."
"Left Column","Cột bên trái"
"Left Column First (shows above main column on smaller screens)","Cột bên trái đầu tiên (cho thấy phía trên cột chính trên màn hình nhỏ hơn)"
"Main Content Area","Khu vực nội dung chính"
"Menu","Trình đơn"
"Navigation Bar","Thanh điều hướng"
"Next","Kế tiếp"
"Next month (hold for menu)","Tháng tiếp theo (giữ cho trình đơn)"
"Next year (hold for menu)","Năm tiếp theo (giữ cho trình đơn)"
"Page Bottom","Đáy trang"
"Page Footer","Chân trang"
"Page Header","Phần đầu trang"
"Page Top","Phía trên cùng trang"
"Page:","Trang:"
"Prev. month (hold for menu)","Tháng trước (giữ cho trình đơn)"
"Prev. year (hold for menu)","Năm trước (giữ cho trình đơn)"
"Previous","Trước"
"Redirecting...","Chuyển hướng..."
"Report All Bugs","Báo cáo tất cả các lỗi"
"Results per page","Kết quả mỗi trang"
"Right Column","Cột bên phải"
"Search","Tìm kiếm"
"Select Store","Chọn cửa hàng"
"Select Store:","Chọn cửa hàng:"
"Select date","Chọn ngày"
"Show","Hiển thị"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là một cửa hàng demo. Bất kỳ đơn đặt hàng thông qua cửa hàng này sẽ không được vinh danh hoặc hoàn thành."
"Time selection:","Lựa chọn thời gian:"
"Time:","Thời gian:"
"View All","Xem tất cả"
"Welcome, %s!","Chào mừng, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bạn phải bật JavaScript trong trình duyệt của bạn để sử dụng các chức năng của trang web này."
"Your Language","Ngôn ngữ của bạn"
"Your Language:","Ngôn ngữ của bạn:"
"per page","mỗi trang"
