"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Quy định danh mục giá hàng dựa trên ""%s"" thuộc tính đã bị vô hiệu hóa."
"Actions","Hành động"
"Active","Có hiệu lực"
"Add New Rule","Thêm quy tắc mới"
"An error occurred while deleting the rule. Please review the log and try again.","Có lỗi xảy ra khi xóa quy định. Vui lòng xem lại nhật ký và thử lại."
"An error occurred while saving the rule data. Please review the log and try again.","Có lỗi xảy ra trong khi lưu dữ liệu các quy định. Vui lòng xem lại nhật ký và thử lại."
"Apply","Áp dụng"
"Apply Rules","Áp dụng quy tắc"
"Attribute Set","Thiết lập thuộc tính"
"By Fixed Amount","Bởi số lượng cố định"
"By Percentage of the Original Price","Theo phần trăm giá gốc"
"Catalog","Danh mục"
"Catalog Price Rule","Quy định giá danh mục"
"Catalog Price Rules","Quy định giá danh mục "
"Category","Thể loại"
"Conditions","Điều kiện"
"Conditions (leave blank for all products)","Điều kiện (để trống cho tất cả sản phẩm)"
"Conditions Combination","Điều kiện kết hợp"
"Customer Groups","Nhóm khách hàng"
"Date Expire","Ngày hết hạn"
"Date From","Từ ngày"
"Date Start","Ngày bắt đầu"
"Date To","Đến ngày"
"Description","Mô tả"
"Discount Amount","Số tiền giảm giá"
"Edit Rule","Chỉnh sửa quy định"
"Edit Rule '%s'","Chỉnh sửa quy tắc '%s'"
"Enable Discount to Subproducts","Kích hoạt giảm giá cho các sản phẩm phụ"
"Expiration Date","Ngày hết hạn"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"ID","ID"
"Inactive","Không hoạt động"
"New Rule","Quy tắc mới"
"No","Không"
"Options","Tùy chọn"
"Priority","Độ ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
"Promotions","Khuyến mãi"
"Rule Information","Quy tắc thông tin"
"Rule Name","Tên quy tắc"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Start Date","Ngày bắt đầu"
"Status","Trạng thái"
"Stop Further Rules Processing","Dừng quy tắc hiện hành"
"The rule has been deleted.","Quy tắc đã bị xóa."
"The rule has been saved.","Quy tắc đã được lưu."
"The rules have been applied.","QUy tắc đã được áp dụng."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Có những quy tắc đã thay đổi nhưng không được áp dụng. Chỉ người dùng có quyền truy cập độc quyền có thể áp dụng quy tắc."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Có những quy tắc đã thay đổi nhưng không được áp dụng. Vui lòng nhấn Áp dụng quy tắc để xem hiệu ứng ngay lập tức trong các danh mục."
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"To Date","Đến ngày"
"To Fixed Amount","Để cố định số tiền"
"To Percentage of the Original Price","Để tỷ lệ phần trăm của giá gốc"
"Type","Loại"
"Unable to apply rules.","Không thể áp dụng quy tắc."
"Unable to find a rule to delete.","Không thể tìm thấy quy tắc để xóa."
"Update Prices Using the Following Information","Cập nhật giá sử dụng theo thông tin sau"
"Update product's %s %s: %s","Cập nhật sản phẩm %s %s: %s"
"Website","Trang web"
"Websites","Trang web"
"Wrong rule specified.","Sai quy định quy tắc."
"Yes","Có"
