"%s Index process is working now. Please try run this process later.","%s Tiến trình lập bản mục lục hiện đang làm việc. Vui lòng thử chạy tiến trình này sau."
"%s index was rebuilt.","%s chỉ số được xây dựng lại."
"'%s' Index Process Information","'%s' Thông tin tiến trình chỉ số"
"Action","Hành động"
"Cannot initialize the indexer process.","Không thể khởi tạo quá trình lập chỉ mục."
"Change Index Mode","Thay đổi chế độ chỉ mục"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Nhấp vào đây để đi đến <a href=""%s"">Quản lý bộ nhớ cache</a> và làm mới các loại bộ nhớ cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Nhấp vào đây để đến <a href=""%s"">Quản lý chỉ mục</a> và xây dựng lại các chỉ số cần thiết."
"Delete","Xóa"
"Description","Mô tả"
"Disable","Tắt"
"Enable","Bật"
"General","Tổng hợp"
"Index","Chỉ mục"
"Index Description","Chỉ số mô tả"
"Index Management","Quản lý chỉ mục"
"Index Mode","Chế độ chỉ mục"
"Index Name","Tên chỉ mục"
"Index mode","Chế độ mục"
"Indexer code is not defined.","Mã lập chỉ mục không được định nghĩa."
"Indexer model is not defined.","Mô hình lập chỉ mục không được định nghĩa."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Mô hình chỉ mục cần mở rộng Mage_Index_Model_Indexer_Abstract."
"Manual Update","Cập nhật thủ công"
"Mode","Chế độ"
"Never","Không bao giờ"
"No","Không"
"One or more of the Indexes are not up to date:","Một hoặc nhiều hơn các chỉ mục là không được cập nhật:"
"Please select Index(es)","Vui lòng chọn chỉ số"
"Please select Indexes","Vui lòng lựa chọn chỉ mục"
"Process Information","Thông tin tiến trình"
"Processing","Xử lý"
"Ready","Sẵn sàng"
"Refresh","Làm mới"
"Reindex Data","Dữ liệu lập lập lại chỉ mục"
"Reindex Required","Lập lại chỉ mục yêu cầu"
"Revoke","Thu hồi"
"Status","Tình trạng"
"System","Hệ thống"
"The index has been saved.","Các chỉ số đã được lưu."
"There was a problem with reindexing process.","Có một vấn đề với tiến trình lập lại chỉ mục."
"There was a problem with saving process.","Có một vấn đề với tiến trình lưu."
"Total of %d index(es) have changed index mode.","Tổng số của %d chỉ mục đã thay đổi chế độ chỉ mục."
"Total of %d index(es) have reindexed data.","Tổng số của %d chỉ mục đã lập lại chỉ mục dữ liệu."
"Update Required","Cần cập nhật"
"Update on Save","Cập nhật lưu lại"
"Updated At","Cập nhật tại"
"Yes","Có"
