"Add","Thêm"
"Add gift message for shopping cart","Thêm tin nhắn quà tặng cho giỏ mua sắm"
"Add gift messages for quote item of shopping cart","Thêm tin nhắn quà tặng cho mục trích dẫn của giỏ hàng"
"Add gift messages to products of shopping cart","Thêm các tin quà tặng đến sản phẩm của giỏ hàng"
"Add gift options","Thêm tùy chọn quà tặng"
"Add gift options for Individual Items","Thêm lựa chọn quà tặng cho các cá nhân"
"Add gift options for the Entire Order","Thêm tùy chọn quà tặng cho toàn bộ đơn hàng"
"Add gift options.","Thêm tùy chọn quà tặng."
"Allow Gift Messages for Order Items","Cho phép tin nhắn quà tặng tới hạng mục đơn hàng"
"Allow Gift Messages on Order Level","Cho phép tin nhắn quà tặng trên các mức độ đặt hàng"
"An error occurred while saving the gift message.","Có lỗi xảy ra trong khi lưu thông điệp quà tặng."
"Are you sure?","Bạn có chắc chắn?"
"Cancel","Hủy"
"Do you have any gift items in your order?","Bạn có bất cứ mặt hàng quà tặng nào trong đơn hàng của bạn?"
"Edit","Chỉnh sửa"
"From","Từ"
"Gift Message","Tin nhắn quà tặng"
"Gift Message API","API tin nhắn quà tặng"
"Gift Options","Tùy chọn quà tặng"
"Gift Options for","Tùy chọn quà tặng cho"
"Gift Options for Individual Items","Tùy chọn quà tặng cho các cá nhân"
"Gift Options for the Entire Order.","Tùy chọn quà tặng cho toàn bộ đơn hàng."
"Gift Options for this address.","Tùy chọn quà tặng cho địa chỉ này."
"Item %d of %d","Mục %d của %d"
"Message","Tin nhắn"
"No","Không"
"OK","Chấp nhận"
"Save Gift Message","Lưu tin nhắn quà tặng"
"The gift message has been removed","Tin nhắn quà tặng đã được gỡ bỏ"
"The gift message has been saved","Tin nhắn quà tặng đã được lưu"
"The gift message has been saved.","Tin nhắn quà tặng đã được lưu."
"To","Tới"
"Unknown entity type","Loại thực thể không xác định"
"Use config","Sử dụng cấu hình"
"Yes","Có"
"You can leave this box blank if you do not wish to add a gift message for the item.","Bạn có thể để trống ô này nếu bạn không muốn thêm một tin nhắn quà tặng cho các mục."
"You can leave this box blank if you do not wish to add a gift message for this address.","Bạn có thể để trống ô này nếu bạn không muốn thêm tin nhắn quà tặng cho địa chỉ này."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Bạn có thể để trống ô này nếu bạn không muốn thêm tin nhắn quà tặng cho toàn bộ đơn đặt hàng."
