"1.5.0.0 & later","1.5.0.0 & sau đó"
"Action","Hành động"
"Add Author","Thêm tác giả"
"Add Contents Path","Thêm đường dẫn nội dung"
"Add PHP Extension dependency","Thêm phần PHP mở rộng phụ thuộc"
"Add Package dependency","Thêm gói phụ thuộc"
"Add files","Thêm tập tin"
"Authors","Tác giả"
"Channel","Kênh"
"Contents","Nội dung"
"Create Extension Package","Tạo gói mở rộng"
"Dependencies","Phụ thuộc"
"Description","Mô tả"
"Edit Extension","Chỉnh sửa phần mở rộng"
"Email","Email"
"Extension","Phần mở rộng"
"Extensions","Phần mở rộng"
"Failed to create the package.","Tạo gói thất bại."
"Failed to load the package data.","Tải dữ liệu gói thất bại."
"Failed to save the package.","Lưu gói thất bại."
"Files","Tập tin"
"Folder","Thư mục"
"Ignore","Bỏ qua"
"Include","Bao gồm"
"License","Giấy phép"
"License URI","Giấy phép URI"
"Load Local Package","Tải gói cục bộ"
"Load local Package","Tải gói cục bộ"
"Magento Connect","Kết nối Magento"
"Magento Connect Manager","Quản lý kết nối Magento"
"Max","Tối đa"
"Maximum","Tối đa"
"Min","Tối thiểu"
"Minimum","Tối thiểu"
"Name","Tên"
"New Extension","Mở rộng mới"
"PHP Version","Phiên bản PHP"
"Package","Gói"
"Package Extensions","Gói mở rộng"
"Package File Name","Tên gói tập tin"
"Package Info","Thông tin gói"
"Packages","Gói"
"Path","Đường dẫn"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Thông tin phiên bản"
"Remove","Gỡ bỏ"
"Save As...","Lưu dạng..."
"Save Data and Create Package","Lưu dữ liệu và tạo gói"
"Save package with custom package file name","Lưu gói với các tùy chỉnh tên gói tập tin"
"Summary","Tổng kết"
"Supported releases","Phiên bản được hỗ trợ"
"System","Hệ thống"
"Target","Mục tiêu"
"The package %s data has been loaded.","Gói dữ liệu %s đã được tải."
"The package data has been saved.","Gói dữ liệu đã được lưu."
"There was a problem saving package data","Có một vấn đề với việc lưu gói dữ liệu"
"Type","Loại"
"User","Người dùng"
