"""Remember Me"" Default Value","""Ghi nhớ tôi"" Giá trị mặc định"
"(Not %s?)","(Không %s?)"
"* Required Fields","* Bắt buộc"
"Address","Địa chỉ"
"Address Information","Thông tin địa chỉ"
"Already registered?","Đã được đăng ký rồi?"
"Back","Quay lại"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Bằng cách tạo một tài khoản với cửa hàng chúng tôi, bạn sẽ có thể thông qua các quy trình kiểm tra nhanh hơn, lưu trữ nhiều địa chỉ giao hàng, xem và theo dõi đơn hàng trong tài khoản của bạn và nhiều thứ hơn nữa."
"Cannot load configuration from file %s.","Không thể nạp cấu hình từ tập tin %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Kiểm tra &quot;Remember Me&quot; sẽ cho phép bạn truy cập vào giỏ hàng của bạn trên máy tính này khi bạn đã đăng xuất"
"Checkout as Guest","Thanh toán như khách"
"Checkout as a Guest","Thanh toán như một khách"
"Checkout as a Guest or Register","Thanh toán như là một khách hoặc đăng ký"
"City","Thành phố"
"Clear Persistence on Log Out","Dọn Persistence trên đăng xuất"
"Close","Đóng"
"Company","Công ty"
"Confirm Password","Xác nhận mật khẩu"
"Continue","Tiếp tục"
"Country","Quốc gia"
"Create an Account","Tạo một tài khoản"
"Easy access to your order history and status","Dễ dàng truy cập vào lịch sử và tình trạn đơn hàng của bạn"
"Email Address","Địa chỉ email"
"Enable ""Remember Me""","Bật ""Ghi nhớ tôi"""
"Enable Persistence","Bật Persistence"
"Fast and easy check out","Kiểm tra nhanh chóng và dễ dàng"
"Faster checkout","Thanh toán nhanh hơn"
"Fax","Fax"
"Forgot Your Password?","Quên mật khẩu?"
"Forgot your password?","Quên mật khẩu"
"General Options","Tùy chọn chung"
"If you have an account with us, please log in.","Nếu bạn có một tài khoản với chúng tôi, vui lòng đăng nhập."
"Loading next step...","Đang tải bước kế tiếp..."
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login or Create an Account","Đăng nhập hoặc tạo một tài khoản"
"New Customers","Khách hàng mới"
"New Here?","Mới đây?"
"Password","Mật khẩu"
"Persist Shopping Cart","Giỏ hàng tồn"
"Persistence Lifetime (seconds)","Thời gian sống của Persistence (giây)"
"Persistent Shopping Cart","Giỏ hàng Persistent"
"Personal Information","Thông tin cá nhân"
"Please enter the following information to create your account.","Vui lòng nhập các thông tin dưới đây để tạo tài khoản."
"Please log in below:","Vui lòng đăng nhập phía dưới:"
"Please select region, state or province","Vui lòng chọn khu vực, tiểu bang hoặc tỉnh"
"Register","Đăng ký"
"Register and Checkout","Đăng ký và thanh toán"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Đăng ký để tạo tài khoản"
"Register with us for future convenience:","Đăng ký với chúng tôi để thuận tiện trong tương lại:"
"Registered Customers","Khách hàng đã đăng ký"
"Registration is free and easy!","Đăng ký miễn phí và dễ dàng!"
"Remember Me","Ghi nhớ tôi"
"Returning Customers","Khách hàng trả lại"
"Save in address book","Lưu vào sổ địa chỉ"
"Save multiple shipping addresses","Lưu nhiều địa chỉ giao hàng"
"Select State/Province...","Chọn tiểu bang/tỉnh..."
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán từ sổ địa chỉ hoặc nhập địa chỉ mới"
"Ship to different address","Giao hàng đến địa chỉ khác"
"Ship to this address","Giao hàng đến địa chỉ này"
"Shopping cart has been updated with appropriate prices","Giỏ hàng đã được cập nhật với giá cả phù hợp"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Sign in to speed up your checkout process","Đăng nhập để tăng tốc quy trình thanh toán của bạn"
"State/Province","Tiểu bang/Tỉnh"
"Street Address","Địa chỉ đường"
"Street Address %s","Địa chỉ đường %s"
"Submit","Chấp nhận"
"Telephone","Điện thoại"
"To proceed to Checkout, please log in using your email address.","Để tiến hành thanh toán, vui lòng đăng nhập bằng địa chỉ email của bạn."
"VAT Number","Số VAT"
"View and track orders and more","Xem và theo dõi đơn hàng và nhiều hơn nữa"
"Welcome, %s!","Chào mừng, %s!"
"What's this?","Đây là gì?"
"What\'s this?","Đây là gì?"
"Zip/Postal Code","Mã Zip/Bưu chính"
