"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" không có sẵn trong số lượng yêu cầu. %s các mặt hàng sẽ được giao trễ."
"%s is available for purchase in increments of %s only.","%s có sẵn để mua chỉ trong gia số của %s."
"%s is not a correct comparsion method.","%s không phải là một phương thức so sánh chính xác."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Chú ý</strong> Các thiết lập này được áp dụng cho các chi tiết đơn hàng, không phải toàn bộ giỏ hàng."
"Add Minimum Qty","Thêm số lượng tối thiểu"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 và thông báo cho khách hàng"
"Automatically Return Credit Memo Item to Stock","Tự động trở lại mục ghi nhớ tín dụng đến kho trữ"
"Backorders","Đơn hàng trễ"
"By Fixed value","Theo giá cố định"
"By Percentage","Theo tỉ lệ"
"Cannot specify product identifier for the order item.","Không thể chỉ định định danh sản phẩm cho các thứ tự các mục."
"Catalog Inventory","Danh mục hàng tồn kho"
"Decrease Stock When Order is Placed","Giảm lưu trữ khi đơn hàng được đặt"
"Display Out of Stock Products","Hiển thị sản phẩm hết hàng"
"Display products availability in stock in the frontend","Hiển thị các sản phẩm sẵn có trong kho tại các lỗi vào"
"Enable Qty Increments","Kích hoạt tính năng thêm số lượng"
"In Stock","Còn hàng"
"Index Product Stock Status","Trạng thái chỉ mục sản phẩm"
"Inventory","Hàng tồn kho"
"Inventory API","API hàng tồn kho"
"Inventory Section","Mục hàng tồn kho"
"Manage Stock","Quản lý kho hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được phép trong giỏ mua sắm"
"Minimum Qty","Số lượng tối thiểu"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được phép trong giỏ mưa sắm"
"Multi update product stock data","Cập nhập nhiều dữ liệu sản phẩm trong kho"
"No Backorders","Không đơn hàng trễ"
"Not all products are available in the requested quantity","Không phải tất cả sản phẩm đều sẵn có trong số lượng được yêu cầu"
"Notify for Quantity Below","Thông báo cho số lượng bên dưới"
"Only %s left","Chỉ %s trái"
"Only X left Threshold","Chỉ X ngưỡng trái"
"Out of Stock","Hết hàng"
"Product Name","Tên sản phẩm"
"Product Stock Options","Tùy chọn sản phẩm trong kho"
"Products will still be shown by direct product URLs.","Sản phẩm vẫn sẽ được hiển thị bằng URL trực tiếp."
"Qty","Số lượng"
"Qty Increments","Tăng thêm số lượng"
"Qty for Item's Status to Become Out of Stock","Trạng thái số lượng sản phẩm để báo hết hàng"
"Retrieve stock data","Lấy dữ liệu kho hàng"
"Retrieve stock data by product ids","Lấy dữ liệu kho hàng bằng ID sản phẩm"
"Rule price","Quy tắc giá cả"
"Set Items' Status to be In Stock When Order is Cancelled","Thiết lập trạng thái sản phẩm báo còn hàng khi đơn hàng bị hủy"
"Some of the products are currently out of stock.","Một số sản phẩm hiện đang hết hàng."
"Some of the products cannot be ordered in requested quantity.","Một số sản phẩm không thể được đặt hàng trong số lượng được yêu cầu."
"Some of the products cannot be ordered in the requested quantity.","Mốt số sản phẩm không thể được đặt hàng theo số lượng yêu cầu."
"Stock Options","Tùy chọn kho hàng"
"Stock Status","Trạng thái kho hàng"
"The maximum quantity allowed for purchase is %s.","Số lượng tối đa được phép mua là %s."
"The minimum quantity allowed for purchase is %s.","Số lượng tối thiểu được phép mua là %s."
"The requested quantity for ""%s"" is not available.","Số lượng yêu cầu cho ""%s"" không có sẵn."
"The stock item for Product in option is not valid.","Các mục hàng hóa cho sản phẩm trong tùy chọn không hợp lệ."
"The stock item for Product is not valid.","Các mục hàng hóa cho sản phẩm không hợp lệ."
"This product is available for purchase in increments of %s only.","Sản phẩm này hiện có sẵn chỉ để mua trong từng bước của %s."
"This product is currently out of stock.","Sản phẩm này hiện đang hết hàng."
"This product is not available in the requested quantity. %s of the items will be backordered.","Sản phẩm này không sẵn có trong số lượng yêu cầu. %s thuộc các mặt hàng sẽ được giao trễ."
"To Fixed Value","Để giá trị cố định"
"To Percentage","Tỉ lệ phần trăm"
"Undefined product type.","Loại sản phẩm không xác định."
"Update","Cập nhật"
"Update product stock data","Cập nhật dữ liệu hàng hóa sản phẩm"
"Update the Product","Cập nhật sản phẩm"
