"(Make sure you keep it in a safe place.)","(Hãy chắc chắn rằng bạn giữ nó ở một nơi an toàn.)"
"(Optional. Leave blank for no prefix)","(Không bắt buộc. Để trống cho không có tiền tố)"
"(ver. %s)","(phiên bản %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Thêm đường dẫn bổ sung sau khi URL cơ sở để truy cập bảng quản trị của bạn (ví dụ. admin, phụ trợ, điều khiển vv.)."
"Admin Path","Đường dẫn quản trị"
"After successfull installation please click the button below.","Sau khi cài đặt thành công, hãy nhấp vào nút bên dưới."
"All packages were installed, click 'OK' to continue with installation.","Tất cả các gói đã được cài đặt, nhấp 'OK' để tiếp tục cài đặt."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Hoặc bạn có thể thử phương phá 'Hướng dẫn tải và nâng cấp'."
"Base URL","URL cơ sở"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Trước khi tiếp tục đến cửa hàng của bạn, vui lòng ghi chú lại chìa khóa mã hóa của bạn (Magento sử dụng nó để mã hóa mật khẩu, thẻ tín dụng và nhiều thứ khác)."
"Check out our","Kiểm tra của chúng tôi"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Kiểm tra hộp này chỉ khi nó không thể tự động xác nhận URL bảo mật, ví dụ nếu xác thực HTTP được yêu cầu."
"Check this box only if it is not possible to automatically validate the Base URL.","Kiểm tra hộp này chỉ khi nó không thẻ tự động xác nhận URL cơ sở."
"Choose this if you would like to test frontend and backend functionality.","Chọn tùy chọn này nếu bạn muốn thử nghiệm chức năng giao diện và phụ trợ."
"Configuration","Cấu hình"
"Confirm Password","Xác nhận mật khẩu"
"Connection","Sự liên kết"
"Continue","Tiếp tục"
"Continue After Manual Download","Tiếp tục sau hướng dẫn tải về"
"Continue Full Download / SVN Installation","Tiếp tục tải về đầy đủ / Cài đặt SVN "
"Create Admin Account","Tạo tài khoản quản trị"
"Currently this is the most stable state available for Magento packages.","Hiện tại đây là trạng thái ổn định nhất sẵn có cho các gói Magento."
"Database","Cơ sở dữ liệu"
"Database Connection","Kết nối cơ sở dữ liệu"
"Database Name","Tên cơ sở dữ liệu"
"Database Name cannot be empty.","Tên cơ sở dữ liệu không thể để trống."
"Database Type","Kiểu cơ sở dữ liệu"
"Database connection error.","Lỗi kết nối cơ sở dữ liệu."
"Database host","Cơ sở dữ liệu chủ"
"Database server does not support the InnoDB storage engine.","Máy chủ cơ sở dữ liệu không hỗ trợ các công cụ lưu trữ InnoDB."
"Database user name","Tên người dùng cơ sở dữ liệu"
"Database user password","Mật khẩu người dùng cơ sở dữ liệu"
