" for more information or "," để biết thêm thông tin hoặc "
"# of Items (and above)","# của mục (và ở trên)"
"# of Items vs. Destination","# của mục với đích đến"
"Allow Shipping to Multiple Addresses","Cho phép giao hàng tới nhiều địa chỉ"
"An error occurred while import table rates.","Có lỗi xảy ra trong khi nhập bảng tỷ giá."
"Calculate Handling Fee","Tính phí xử lý"
"Carrier:","Người chuyển hàng:"
"City","Thành phố"
"Close Window","Đóng cửa sổ"
"Condition","Điều kiện"
"Country","Quốc gia"
"Custom Value","Giá trị tùy chỉnh"
"Date","Ngày"
"Delivered on:","Giao trên:"
"Delivered to:","Giao đến:"
"Description","Mô tả"
"Displayed Error Message","Hiển thị thông báo lỗi"
"Divide to equal weight (one request)","Chia để cân bằng trọng lượng (một yêu cầu)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Nhân đôi hàng #%s (Quốc gia ""%s"", Khu vực/Tiểu bang ""%s"", Zip ""%s"" và Giá trị ""%s"")."
"Enabled","Đã bật"
"Error:","Lỗi:"
"Export","Xuất"
"File has not been imported. See the following list of errors: %s","Tập tin chưa được nhập. Xem danh sách các lỗi sau đây: %s"
"Fixed","Cố định"
"Flat Rate","Giá đồng nhất"
"Free Shipping","Miễn phí vận chuyển"
"Google Sitemap Section","Mục Google Sitemap"
"Handling Fee","Phí xử lý"
"Import","Nhập"
"Include Virtual Products in Price Calculation","Bao gồm các sản phẩm ảo trong tính toán giá"
"Info:","Thông tin:"
"Invalid %s ""%s"" in the Row #%s.","Không hợp lệ %s ""%s"" trong hàng #%s."
"Invalid Country ""%s"" in the Row #%s.","Quốc gia không hợp lệ ""%s"" trong hàng #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Khu vực/Tiểu bang không hợp lệ ""%s"" trong hàng #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Giá vận chuyển không hợp lệ ""%s"" trong hàng #%s."
"Invalid Table Rate code for type %s: %s","Mã bảng tỷ giá không hợp lệ cho loại %s: %s"
"Invalid Table Rate code type: %s","Loại mã bảng tỷ giá không hợp lệ: %s"
"Invalid Table Rates File Format","Định dạng tập tin bảng tỷ giá không hợp lệ"
"Invalid Table Rates format in the Row #%s","Định dạng bảng tỷ giá không hợp lệ ở hàng #%s"
"Local Time","Giờ địa phương"
"Location","Vị trí"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Số lượng tối đa được phép vận chuyển tới nhiều địa chỉ"
"Method Name","Tên phương thức"
"Minimum Order Amount","Số lượng đơn hàng tối thiểu"
"N/A","N/A"
"None","Không"
"Options","Tùy chọn"
"Order Subtotal (and above)","Đơn hàng con (và ở trên)"
"Origin","Nguồn gốc"
"Per Order","Mỗi đơn hàng"
"Per Package","Mỗi gói"
"Percent","Phần trăm"
"Price","Giá"
"Price vs. Destination","Giá và Điểm đến"
"Region/State","Khu vực/Tiểu bang"
"Service Type:","Loại dịch vụ:"
"Ship to Applicable Countries","Chuyển cho các nước áp dụng"
"Ship to Specific Countries","Chuyển cho các nước cụ thể"
"Shipment #","Lô hàng #"
"Shipment Tracking Popup","Cửa số theo dõi lô hàng vận chuyển"
"Shipped or billed on:","Vận chuyển hoặc thanh toán trên:"
"Shipping Methods","Phương thức vận chuyển"
"Shipping Methods Section","Mục phương pháp vận chuyển"
"Shipping Settings","Cài đặt vận chuyển"
"Shipping Settings Section","Mục cài đặt vận chuyển"
"Show Method if Not Applicable","Hiện phương pháp nếu không áp dụng"
"Signed by:","Ký kết bởi:"
"Sort Order","Sắp xếp đơn hàng"
"Status:","Tình trạng:"
"Store Pickup","Cửa hàng bán tải"
"Street Address","Địa chỉ đường"
"Street Address Line 2","Dòng địa chỉ đường 2"
"Table Rates","Bảng tỷ giá"
"The shipping module is not available for selected delivery country.","Các mô đun vận chuyển không có sẵn cho quốc gia được chọn giao hàng."
"The shipping module is not available.","Các mô đun vận chuyển không có sẵn."
"There is no tracking available for this shipment.","Không có theo dõi sẵn cho lô hàng này."
"There is no tracking available.","Không có sẵn theo dõi."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Phương thức vận chuyển này hiện không có. Nếu bạn muốn sử dụng phương thức vận chuyển này, vui lòng liên hệ chúng tôi."
"This shipping method is not available, please specify ZIP-code","Phương thức vận chuyển này không có sẵn, vui lòng ghi rõ ZIP-code"
"Title","Tiêu đề"
"Track:","Theo dõi:"
"Tracking Information","Thông tin theo dõi"
"Tracking Number:","Số theo dõi:"
"Tracking information is currently not available. Please ","Thông tin theo dõi hiện không sẵn có. Vui lòng "
"Tracking information is currently unavailable.","Thông tin theo dõi hiện không có sẵn."
"Type","Loại"
"Use origin weight (few requests)","Sử dụng trọng lượng gốc (số ít yêu cầu)"
"Weight (and above)","Trọng lượng (và trên)"
"Weight vs. Destination","Trọng lượng và Đích đến"
"Weight:","Trọng lượng:"
"ZIP/Postal Code","Mã ZIP/Bưu chính"
"contact us","liên hệ chúng tôi"
"email us at ","gửi mail cho chúng tôi tại "
