"%1$s has been updated in your wishlist.","%1$s đã được cập nhật vào danh sách ưa thích của bạn."
"%d product(s) have been added to shopping cart: %s.","%d sản phẩm đã được thêm vào giỏ mua sắm: %s."
"%s for ""%s"".","%s khoảng ""%s""."
"%s has been moved to wishlist %s","%s đã được chuyển vào danh sách ưa thích %s"
"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s's Wishlist","%s's danh sách ưa thích"
"* Required Fields","* Bắt buộc"
"Add All to Cart","Thêm tất cả vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách ưa thích"
"Added From","Thêm từ"
"An error occurred while adding item to wishlist.","Có lỗi xảy ra khi thêm sản phẩm vào danh sách ưa thích."
"An error occurred while adding item to wishlist: %s","Có lỗi xảy ra khi thêm sản phẩm vào danh sách ưa thích: %s"
"An error occurred while deleting the item from wishlist.","Có lỗi xảy ra khi xóa sản phẩm từ danh sách ưa thích."
"An error occurred while deleting the item from wishlist: %s","Có lỗi xảy ra khi xóa sản phẩm từ danh sách ưa thích: %s"
"An error occurred while updating wishlist.","Có lỗi xảy ra khi cập nhật danh sách ưa thích."
"Are you sure you want to remove this product from your wishlist?","Bạn có chắc là muốn gỡ sản phẩm này khỏi danh sách ưa thích của bạn?"
"Are you sure you would like to remove this item from the wishlist?","bạn có chắc muốn gỡ sản phẩm này khỏi danh sách ưa thích?"
"Back","Quay lại"
"Can\'t delete item from wishlist","Không thể xóa sản phẩm từ danh sách ưa thích"
"Can\'t save description %s","Không thể lưu mô tả %s"
"Can\'t update wishlist","Không thể cập nhật danh sách ưa thích"
"Cannot add item to shopping cart","Không thể thêm sản phẩm vào giỏ mua sắm"
"Cannot add the following product(s) to shopping cart: %s.","Không thể thêm các sản phẩm sau đây vào giỏ mua sắm: %s."
"Cannot add the item to shopping cart.","Không thể thêm sản phẩm vào giỏ mua sắm."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Không thể thêm các sản phẩm đã chọn vào giỏ mua sắm vì sản phẩm đã được gỡ bỏ khỏi danh sách ưa thích"
"Cannot configure product","Không thể thiết lập sản phẩm"
"Cannot load wishlist item","Không thể tải danh sách sản phẩm ưa thích"
"Cannot move item to wishlist","Không thể chuyển sản phẩm tới danh sách ưa thích"
"Cannot specify product.","Không thể xác định sản phẩm."
"Cannot specify wishlist item.","Không thể xác định sản phẩm ưa thích."
