" But cart has some errors."," Nhưng giỏ hàng có một số lỗi."
" Note: Image size affects the performance of your app."," Lưu ý: Kích thước hình ảnh ảnh hưởng đến hiệu suất ứng dụng của bạn."
"""Description"" is more than %d characters long","""Mô tả"" nhiều hơn %d kí tự dài"
"""Title"" is more than %d characters long","""Tiêu đề"" nhiều hơn %d kí tự dài"
"""id"" attribute is required for a ""%s"" field.","""id"" thuộc tính cần thiết cho một ""%s"" mục."
"""line_count"" attribute is required for ""multiline"" element.","""số dòng"" thuộc tính cần thiết cho thành phần ""nhiều dòng""."
"""message"" attribute is required for ""%s"" validator rule.","""tin nhắn"" thuộc tính cần thiết cho ""%s"" quy tắc xác nhận."
"%1$s has been added to your wishlist.","%1$s đã được thêm vào danh sách ưa thích của bạn."
"%1$s incl tax.","%1$s bao gồm thuế."
"%@ is not correct","%@ không đúng"
"%s API Key required.","%s yêu cầu khóa API."
"%s Application ID required.","%s cần ID ứng dụng."
"%s Secret Key required.","%s cần khóa bảo mật."
"%s attribute is required.","%s thuộc tính được yêu cầu."
"%s fields is required","%s lĩnh vực được yêu cầu"
"%s has been added to your cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s đã được cập nhật trong giỏ mua sắm của bạn."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Gồm nhiều quốc gia hơn so với những gì được liệt kê dưới đây. Là chủ sở hữu ứng dụng, bạn có trách nhiệm tuân thủ luật pháp quốc gia cụ thể liên quan đến sự phân bố hoặc bán ứng dụng của bạn vào quốc gia đó, bao gồm đất nước của bạn.)"
"* - field is required","* - lĩnh vực được yêu cầu"
"*Subject to change","*có thể thay đổi"
"1. Please select type of the action:","1. Vui lòng chọn loại hoạt động:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Vui lòng chọn một trang"
"2. Type Category Name","2. Tên loại thể loại"
"2. Type Product Name","2. Tên loại sản phẩm"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Đăng nhập</a> vào Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Ứng dụng chỉ một danh mục sẽ không được hỗ trợ các chức năng như thêm vào giỏ hàng, thêm vào danh mục ưa thích, hay đăng nhập."
"A new password has been sent.","Mật khẩu mới đã được gửi đi."
"About","Khoảng"
"Access forbidden","Truy cập bị cấm"
"Account","Tài khoản"
"Account Information","Thông tin tài khoản"
"Account Settings","Thiết lập tài khoản"
"Account confirmation is required. Please check your email for the confirmation link.","Yêu cầu xác nhận tài khoản. Vui lòng kiểm tra email của bạn để xác nhận liên kết."
"Account information has been saved.","Thông tin tài khoản đã được lưu."
"Action","Hoạt động"
"Action type does\'t recognized","Loại hành động không được công nhận"
"Action type does\'t recognized.","Loại hành động không được công nhận."
"Action type doesn\'t recognized.","Loại hành động không được công nhận."
"Activate","Kích hoạt"
"Activate PayPal Checkout","Kích hoạt kiểm tra PayPal"
"Activate PayPal MECL","Kích hoạt PayPal MECL"
"Activation Key","Mã kích hoạt"
"Add","Thêm"
"Add Action","Thêm hành động"
"Add Address from Contacts","Thêm địa chỉ từ những liên hệ"
"Add App","Thêm ứng dụng"
"Add Custom","Thêm tùy chọn"
"Add New Address","Thêm địa chỉ mới"
"Add New Template","Thêm mẫu mới"
"Add Page","Thêm trang"
"Add To Wishlist","Thêm vào danh sách ưa thích"
"Add a billing address","Thêm một địa chỉ thanh toán"
"Add a shipping address","Thêm một địa chỉ giao hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào danh sách ưa thích"
"Adding Product to Cart...","Thêm sản phẩm vào giỏ hàng..."
"Adding Product to WishList...","thêm sản phẩm vào danh sách ưa thích..."
"Additional Address","Địa chỉ bổ sung"
"Additional Info","Thông tin bổ sung"
"Address","Địa chỉ"
"Address 2","Địa chỉ 2"
"Address Book","Sổ địa chỉ"
"Address Book Updated","Sổ địa chỉ đã cập nhật"
"Address Info","Thông tin địa chỉ"
"Address book is empty","Sổ địa chỉ trống"
"Address data not specified.","Dữ liệu địa chỉ không xác định."
"Address does not belong to this customer.","Địa chỉ không thuộc về khách hàng này."
"Address has been deleted.","Địa chỉ đã bị xóa."
"Address has been saved.","Địa chỉ đã được lưu."
"Admin Application Settings","Thiết lập quản trị ứng dụng"
"Admin Mobile Application","Quản trị ứng dụng di động"
"Admin application has not been enabled","Ứng dụng quản trị chưa được kích hoạt"
"Administrative contact for this app and for app submission issues.","Liên hệ quản lý cho ứng dụng này và các vấn đề trình ứng dụng."
"Advanced Settings","Cài đặt nâng cao"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Sau khi đưa ứng dụng đến Magento, vui lòng liên hệ <a href=""mailto:%1$s"">%1$s</a> để nhận được mã ứng dụng, bảo mật ứng dụng và bảo mật ứng dụng chủ."
"AirMail Message Queue","Hàng đợi tin nhắn AirMail"
"AirMail Messages Queue","Hàng đợi tin nhắn AirMail"
"AirMail Template Preview","Xem trước mẫu AirMail"
"AirMail message","Tin nhắn AirMail"
"AirMail templates","Mẫu AirMail"
"All Allowed Countries","Tất cả các quốc gia cho phép"
"All Images","Tất cả hình ảnh"
"All locations","Tất cả địa điểm"
"Amount","Tổng số"
"Amount in %@","Tổng số trong %@"
"Amounts","Các khoản"
"An account with this email address already exists.","Một tài khoản với địa chỉ email này đã tồn tại."
"An error occurred while adding item to wishlist.","Có lỗi xảy ra khi thêm sản phẩm vào danh sách ưa thích."
"An error occurred while deleting the address.","Có lỗi xảy ra khi xóa địa chỉ."
"An error occurred while loading categories.","Có lỗi xảy ra trong khi tải các mặt hàng."
"An error occurred while loading category filters.","Có lỗi xảy ra trong khi tải các bộ lọc loại hàng."
"An error occurred while loading configuration.","Có lỗi xảy ra trong khi tải cấu hình."
"An error occurred while loading localization.","Có lỗi xảy khi khi tải các địa điểm."
"An error occurred while loading login form.","Có lỗi xảy ra khi tải bảng đăng nhập."
"An error occurred while loading wishlist.","Có lỗi xảy ra khi tải danh sách ưa thích."
"An error occurred while processing your order. Please contact us or try again later.","Có lỗi xảy ra khi xử lý đơn hàng của bạn. Hãy liên hệ với chúng tôi hoặc thử lại sau."
"An error occurred while processing your request.","Đã xảy ra lỗi trong khi xử lý yêu cầu của bạn."
"An error occurred while removing item from wishlist.","Có lỗi xảy ra khi gỡ bỏ các sản phẩm từ danh sách ưa thích."
"An error occurred while removing items from wishlist.","Có lỗi xảy ra khi loại bỏ các sản phẩm từ dánh sách ưa thích."
"Analytics","Phân tích"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android không hỗ trợ loại tin nhắn AirMail."
"App Background","Ứng dụng nền"
"App Background (landscape mode)","Ứng dụng nền (Chế độ phong cảnh)"
"App Background (landscape mode).","Ứng dụng nền (chế độ phong cảnh)."
"App Background (portrait mode)","Ứng dụng nền (chế độ chân dung)"
"App Background (portrait mode).","Ứng dụng nền (chế độ chân dung)."
"App Background image missing.","Hình nền ứng dụng hỏng."
"App Code","Mã ứng dụng"
"App Information","Thông tin ứng dụng"
"App Name","Tên ứng dụng"
"App Stores","Cưa hàng ứng dụng"
"App Submission History","Lịch sử trình ứng dụng"
"App Title","Tiêu đề ứng dụng"
