"--Please Select--","--Vui lòng lựa chọn--"
"API Login ID","ID Đăng nhập API"
"Accepted Currency","Chấp nhận tiền tệ"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Số tiền của %s đã được duyệt bởi cổng thanh toán. ID giao dịch: ""%s""."
"Authorize.net Direct Post","Bài trực tiếp Authorize.net"
"Card Verification Number","Số thẻ chứng minh"
"Card Verification Number Visual Reference","Số thẻ chứng minh thẩm quyền trực quan"
"Close","Đóng"
"Credit Card Information","Thông tin thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Kiểu thẻ tín dụng"
"Credit Card Types","Các kiểu thẻ tín dụng"
"Credit Card Verification","Việc kiểm tra thẻ tín dụng"
"Debug","Debug"
"Email Customer","Email khách hàng"
"Enabled","Bật"
"Expiration Date","Ngày hết hạn"
"Gateway URL","URL cổng"
"Maximum Order Total","Tổng số đơn hàng tối đa"
"Merchant MD5","Mã MD5 thương gia"
"Merchant's Email","Email của thương gia"
"Minimum Order Total","Tổng số đơn hàng tối thiểu"
"New Order Status","Trạng thái đơn hàng mới"
"Order saving error: %s","Lỗi lưu đơn hàng: %s"
"Payment Action","Hành động thanh toán"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment authorization error. Transacion id is empty.","Lỗi ủy quyền thanh toán. ID giao dịch trống."
"Payment error. Order was not found.","Lỗi thanh toán. Đơn hàng không được tìm thấy."
"Payment error. Paid amount doesn\'t match the order amount.","Lỗi thanh toán. Số lượng thanh toán không khớp với số lượng đơn đặt hàng."
"Payment from Applicable Countries","Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Please, choose payment method","Vui lòng chọn phương thức thanh toán"
"Response hash validation failed. Transaction declined.","Xác nhận đáp ứng băm thất bại. Giao dịch giảm."
"Sort Order","Thứ tự đặt hàng"
"Test Mode","Chế độ kiểm tra"
"The order has been created.","Đơn hàng đã được tạo."
"There was an error processing your order. Please contact us or try again later.","Có lỗi khi xử lý đơn hàng của bạn. Vui lòng liên hệ với chúng tôi hoặc thử lại sau."
"Title","Tiêu đề"
"Transaction Key","Mã giao dịch"
"What is this?","Đây là gì?"
"You will be required to enter your payment details before you place an order.","Bạn sẽ được yêu cầu nhập chi tiết thanh toán trước khi bạn đặt hàng."
